booking_count,total_revenue,density_score,avg_revenue_per_booking,hotspot_rank
1833.0,312438.33,2.3839656802816566e-06,170.45189852700491,2195.0
0.0,0.0,6.680206096720678e-07,0.0,5260.0
320.0,45658.96,2.3696366926815213e-06,142.68425,2207.0
26.0,22020.91,1.7989785507046524e-06,846.9580769230769,2782.0
0.0,0.0,3.8448134463818444e-07,0.0,6291.0
0.0,0.0,4.5050351654031524e-07,0.0,6009.0
763.0,133140.7,4.490251923382298e-07,174.49633027522938,6015.0
0.0,0.0,4.4230240620506724e-07,0.0,6048.0
3236.0,983278.7,4.823678754522672e-06,303.85621137206425,832.0
320.0,306203.83,3.952220738654076e-06,956.88696875,1144.0
1511.0,446729.57,5.803876524187896e-06,295.6516015883521,580.0
0.0,0.0,5.176106760261333e-06,0.0,719.0
0.0,0.0,4.587023668566041e-06,0.0,900.0
5644.0,1816941.37,4.41630665801782e-06,321.92440999291284,974.0
0.0,0.0,2.1077851088077397e-06,0.0,2442.0
826.0,182775.75,4.564139957761504e-06,221.27814769975788,911.0
0.0,0.0,2.5059750647336656e-06,0.0,2074.0
49.0,23198.09,2.096456112979412e-06,473.4304081632653,2460.0
4.0,1474.8,2.893141416077773e-06,368.7,1743.0
0.0,0.0,3.6856811178863583e-06,0.0,1278.0
172.0,157086.75,2.6545946232316136e-06,913.2950581395348,1943.0
8303.0,1681328.66,4.931101276569028e-06,202.49652655666625,799.0
232.0,165973.91,3.7033208304348177e-06,715.4047844827586,1266.0
476.0,417929.25,4.661391492103753e-06,878.0026260504202,883.0
14.0,24076.8,3.8091710427562218e-06,1719.7714285714285,1214.0
0.0,0.0,3.4306686482196867e-06,0.0,1407.0
0.0,0.0,1.8323523307860492e-06,0.0,2752.0
868.0,529097.27,3.5615831140766047e-06,609.5590668202765,1345.0
0.0,0.0,2.770370084915775e-06,0.0,1829.0
484.0,283252.44,3.3047643945376316e-06,585.2323140495868,1471.0
164.0,38022.9,2.8476740428830127e-06,231.8469512195122,1776.0
0.0,0.0,2.779641718000862e-06,0.0,1824.0
2578.0,815102.14,3.3325378290902926e-06,316.17615981380914,1457.0
0.0,0.0,4.146484283691262e-06,0.0,1068.0
0.0,0.0,1.8660532116873433e-06,0.0,2709.0
0.0,0.0,2.5784495727273108e-06,0.0,2010.0
1098.0,102711.95,2.3418666381560233e-06,93.5445810564663,2235.0
0.0,0.0,2.782166106339749e-06,0.0,1821.0
0.0,0.0,2.005626637630566e-06,0.0,2560.0
0.0,0.0,2.39123914159935e-06,0.0,2189.0
0.0,0.0,3.612291369888349e-06,0.0,1316.0
0.0,0.0,2.317776365702418e-06,0.0,2256.0
355.0,82563.05,3.411457596549219e-06,232.57197183098592,1413.0
0.0,0.0,1.9043008089051808e-06,0.0,2661.0
0.0,0.0,3.166327241116557e-06,0.0,1561.0
362.0,56559.8,2.1912732301881745e-06,156.2425414364641,2363.0
0.0,0.0,1.7482204916859704e-06,0.0,2860.0
4535.0,569743.9,4.654051216508701e-06,125.63261300992282,884.0
0.0,0.0,3.938606567807655e-06,0.0,1150.0
3.0,2880.0,2.5631782449092066e-06,960.0,2026.0
0.0,0.0,3.5464998940410723e-06,0.0,1349.0
0.0,0.0,1.827600423368155e-06,0.0,2761.0
0.0,0.0,2.7809738109719197e-06,0.0,1822.0
0.0,0.0,4.564055225746941e-07,0.0,5984.0
0.0,0.0,1.9203570982604663e-06,0.0,2645.0
0.0,0.0,1.9036967848225466e-06,0.0,2662.0
0.0,0.0,7.99609285197699e-07,0.0,4837.0
0.0,0.0,1.4675742540515709e-06,0.0,3254.0
237.0,237926.22,8.30070160067595e-07,1003.9081012658228,4749.0
0.0,0.0,4.44463022264996e-07,0.0,6032.0
26.0,2874.9,4.0718473113492195e-07,110.57307692307693,6198.0
0.0,0.0,3.9109436489165453e-07,0.0,6261.0
0.0,0.0,7.492055371904873e-07,0.0,4984.0
0.0,0.0,2.2068248363846087e-07,0.0,7082.0
0.0,0.0,1.8201793688780836e-07,0.0,7287.0
0.0,0.0,1.7933564333630317e-08,0.0,8275.0
0.0,0.0,9.516928604468165e-08,0.0,7827.0
0.0,0.0,3.701347657338894e-07,0.0,6355.0
0.0,0.0,9.754687641719967e-08,0.0,7798.0
0.0,0.0,2.1589888674753104e-08,0.0,8266.0
0.0,0.0,1.117268602422558e-08,0.0,8285.0
0.0,0.0,1.2189776735496172e-08,0.0,8284.0
0.0,0.0,2.4547822031235043e-08,0.0,8259.0
0.0,0.0,6.61942007899646e-08,0.0,8050.0
0.0,0.0,9.001624737592525e-09,0.0,8286.0
0.0,0.0,1.878283826761374e-08,0.0,8273.0
0.0,0.0,1.3994489768494428e-08,0.0,8279.0
0.0,0.0,5.7595819048589774e-08,0.0,8106.0
0.0,0.0,3.7254107720805545e-08,0.0,8209.0
0.0,0.0,4.2451511922396755e-07,0.0,6122.0
0.0,0.0,8.39218944779076e-09,0.0,8287.0
0.0,0.0,3.6922240760482004e-08,0.0,8212.0
0.0,0.0,8.204558370265633e-09,0.0,8289.0
0.0,0.0,3.9935421620233275e-07,0.0,6231.0
0.0,0.0,7.222935032680038e-08,0.0,8006.0
0.0,0.0,1.945434421428992e-08,0.0,8272.0
0.0,0.0,1.5838108486341312e-06,0.0,3074.0
0.0,0.0,6.137058651712958e-07,0.0,5436.0
0.0,0.0,5.071460648936805e-07,0.0,5788.0
1309.0,289992.78,1.0254224979308781e-06,221.53764705882355,4151.0
0.0,0.0,2.064668962219371e-06,0.0,2489.0
0.0,0.0,1.1371210935967087e-06,0.0,3862.0
0.0,0.0,3.045328207559606e-07,0.0,6656.0
0.0,0.0,1.6590352187585118e-06,0.0,2965.0
0.0,0.0,2.0779183627109914e-06,0.0,2476.0
0.0,0.0,1.3569116499647755e-06,0.0,3432.0
0.0,0.0,1.0527124037558485e-06,0.0,4083.0
0.0,0.0,1.0062364638881469e-06,0.0,4221.0
6008.0,1104817.42,3.239620081743333e-06,183.89104860186416,1503.0
0.0,0.0,2.0071661280209755e-06,0.0,2558.0
0.0,0.0,1.236308001729995e-06,0.0,3653.0
0.0,0.0,1.6685862032186065e-06,0.0,2953.0
0.0,0.0,1.7561614698643644e-06,0.0,2847.0
0.0,0.0,1.2840986943649433e-06,0.0,3570.0
0.0,0.0,1.114637020700086e-06,0.0,3929.0
0.0,0.0,2.3883707704407976e-06,0.0,2191.0
0.0,0.0,7.186824971233263e-07,0.0,5088.0
0.0,0.0,4.639546290489583e-07,0.0,5949.0
0.0,0.0,1.515161782566652e-06,0.0,3177.0
0.0,0.0,1.0823816220268554e-06,0.0,4021.0
0.0,0.0,1.964471921847722e-06,0.0,2608.0
0.0,0.0,1.5214084092882062e-06,0.0,3163.0
0.0,0.0,1.7016957771407893e-06,0.0,2909.0
0.0,0.0,1.9788262966595254e-06,0.0,2592.0
0.0,0.0,1.7118362699509233e-06,0.0,2900.0
0.0,0.0,5.653996963329761e-07,0.0,5589.0
0.0,0.0,8.601318307677518e-07,0.0,4662.0
0.0,0.0,3.8971516939737997e-07,0.0,6265.0
0.0,0.0,4.066925738490146e-07,0.0,6203.0
0.0,0.0,7.058367613258875e-07,0.0,5142.0
28.0,2233.56,4.5849177041812864e-07,79.77,5977.0
0.0,0.0,5.852992221346183e-07,0.0,5525.0
0.0,0.0,8.372041697356006e-07,0.0,4725.0
0.0,0.0,6.895545084779139e-07,0.0,5192.0
0.0,0.0,6.761274266146552e-07,0.0,5235.0
15.0,11878.92,3.7788930974334297e-07,791.928,6315.0
0.0,0.0,5.376547194300469e-07,0.0,5688.0
27.0,13877.22,6.927198309661935e-07,513.9711111111111,5180.0
0.0,0.0,4.176795588097776e-07,0.0,6153.0
6.0,4470.0,4.62924227335173e-07,745.0,5953.0
0.0,0.0,4.774414692329122e-07,0.0,5894.0
153.0,28070.38,3.7616742651017736e-07,183.46653594771243,6323.0
0.0,0.0,4.938751115865724e-07,0.0,5835.0
84.0,16074.87,6.315072139733809e-07,191.3675,5381.0
0.0,0.0,4.2259747849372015e-07,0.0,6127.0
340.0,93038.5,4.160694468546835e-07,273.6426470588235,6160.0
0.0,0.0,4.026395675310175e-07,0.0,6220.0
11.0,1097.05,2.807853226963234e-07,99.73181818181818,6780.0
48.0,22295.0,6.179745796464117e-07,464.4791666666667,5424.0
0.0,0.0,1.986733675232653e-06,0.0,2581.0
0.0,0.0,2.2554975922876926e-06,0.0,2303.0
0.0,0.0,9.46353551017131e-07,0.0,4399.0
210.0,75620.39,3.2471185363145554e-07,360.0970952380952,6550.0
118.0,50960.17,4.3035122832094316e-07,431.8658474576271,6093.0
0.0,0.0,2.622543346481096e-07,0.0,6881.0
0.0,0.0,5.342976820750909e-07,0.0,5696.0
0.0,0.0,4.7064824753161613e-07,0.0,5925.0
0.0,0.0,3.0320607728585634e-07,0.0,6665.0
115.0,59677.72,4.24715961493939e-07,518.936695652174,6118.0
0.0,0.0,4.4063778405432654e-07,0.0,6058.0
0.0,0.0,1.3070079076298725e-06,0.0,3521.0
