cluster_id,booking_count,total_revenue,centroid_lat,centroid_lon,avg_revenue_per_booking
9,42298,10910550.7,40.418713332902264,-3.7015003427916215,257.9448366353019
53,20745,11636411.51,41.391889441195474,2.170115645683297,560.926079055194
0,18950,5701943.04,37.38991236221108,-5.994761089155673,300.89409182058046
57,16893,4306199.51,39.472270161202864,-0.39970931897235545,254.91028887704965
39,16434,1595376.15,42.30010822179019,-8.607462673487891,97.07777473530486
81,14792,2563067.71,39.85116722475663,-4.030213321166847,173.2739122498648
18,13436,3995933.92,36.71963463573981,-4.424484231490027,297.40502530515033
12,12474,1514853.45,42.883894221532785,-8.546568320899471,121.44087301587301
24,11877,5231464.8,36.52384562901406,-4.83649427143218,440.47021975246275
7,9212,882480.54,42.44073605244247,-2.9548359667281807,95.79684541901868
52,8097,1447729.34,36.01691413036927,-5.606345263332098,178.79823885389652
35,7513,1291071.03,42.91714142904299,-8.348960355676827,171.84493943830694
102,7296,1564441.98,37.1754402852659,-3.6000980821957236,214.4246134868421
32,6568,1773926.2,38.34658246227162,-0.4890975351248477,270.0862058465286
97,5961,1046903.38,37.88572364420399,-4.779835546636471,175.62546217077673
50,5910,822038.16,41.64098002482234,-4.717121852419628,139.09275126903555
51,5644,1816941.37,36.68661929899008,-6.132596405191353,321.92440999291284
5,5591,2708724.47,36.752074824700415,-3.880603888409944,484.47942586299416
33,5176,796044.6,40.94838028286321,-4.119507806819937,153.79532457496134
25,5135,452257.27,37.98330210048686,-1.1412667014021423,88.07347030185005
163,4718,504241.02,41.654985354811366,-0.8781205213437897,106.87601102161933
4,4696,566108.88,43.46197445138416,-3.8147003399063033,120.55129471890972
66,4651,999201.21,42.59684527946678,-5.571141046140615,214.83577940227906
169,4535,569743.9,36.86444187947078,-5.175149633142227,125.63261300992282
212,4527,1310786.87,43.32243551073559,-1.981597627214491,289.5486790368898
42,4473,829028.33,38.88785225463894,-3.71297312119383,185.34056114464565
62,4456,107086.65,42.78305834344704,-7.418107848384202,24.03201301615799
63,4334,371915.64,42.60572475417628,-8.647457973557913,85.8134840793724
91,4303,2002491.52,41.071872796351386,1.0940167096444342,465.3710248663723
226,4212,814832.05,37.96246915586419,-0.7042965725308642,193.45490265906935
29,4196,787467.76,28.408802456482363,-16.54039930676835,187.67105815061964
168,4153,1183060.49,41.23670367671563,1.8096525341199132,284.8688875511678
15,4093,1209877.04,37.1281101,-6.810876,295.59663816271683
147,3896,1833261.1,28.055781155723817,-16.547461222073924,470.54956365503085
113,3861,780376.3,40.9685096969179,-5.66098318065268,202.11766381766384
49,3841,372955.08,42.430986464722736,-8.645451137255922,97.09843269981776
190,3681,1890624.42,41.88275716115186,3.142859738413475,513.61706601467
230,3645,558910.5,43.35490740438957,-8.4018607563786,153.33621399176954
129,3582,874764.94,39.8888486876326,4.2675438412618645,244.21131769960914
27,3512,723316.18,43.36964136090547,-5.835790333257403,205.95563211845104
237,3466,501899.23,43.35369108179458,-8.214761442758222,144.80647143681477
125,3330,178207.97,42.782266772342346,-8.651430576126126,53.515906906906906
417,3318,624708.98,41.718433649065695,2.9317343868595542,188.278776371308
207,3236,983278.7,36.53056141690359,-6.295731180191594,303.85621137206425
205,3132,1335104.33,28.116729809770113,-15.431636720402299,426.2785217113666
2,3084,1972818.47,42.257926242996106,3.151992171303502,639.694704928664
301,3069,310852.12,43.10434877666992,-9.218050422580644,101.2877549690453
3,3005,374603.79,42.062928716239604,-1.6062263075873544,124.66016306156405
217,2988,881437.28,28.51376434464525,-16.349878220013387,294.99239625167337
171,2955,1457590.7,42.04846156649746,3.1960227571573605,493.26250423011845
38,2926,384510.51,43.3822584,-3.2188099,131.41165755297334
233,2862,340807.6,41.67128406383648,1.269608321278826,119.08022361984625
227,2854,715757.98,40.87351379362298,0.15425266461107218,250.79116327960756
249,2798,387563.56,38.426669576197284,-6.420410429413867,138.51449606862045
75,2757,575562.13,42.33999615959376,-3.702497904062387,208.76392092854553
182,2755,1218943.34,38.84022276805808,0.10398599056261343,442.44767332123416
187,2741,295906.5,42.92400610532653,-1.5105763719080627,107.95567311200291
86,2723,421830.88,38.61564156614029,-1.125021028130738,154.91402130003672
242,2668,151942.0,42.8074062,-7.617485400000001,56.94977511244378
122,2602,486894.09,42.49388594888547,-1.2145432943889316,187.1230169100692
61,2582,823869.58,36.253770037683964,-5.960525720410534,319.0819442292796
178,2557,2251935.6,28.087642097457955,-16.717764951857646,880.6944075087994
76,2529,810324.74,41.49088339604587,2.318960513325425,320.41310399367336
202,2496,280295.49,38.35665608125,-0.7707323093749999,112.29787259615384
316,2484,349010.37,42.87858264975845,-7.80693376147343,140.50336956521738
54,2425,309170.12,42.813769768577316,-1.6561225177319587,127.49283298969073
21,2400,357863.09,40.6347846,-3.1690621,149.10962083333334
96,2385,975051.26,39.163094134926624,-0.253875370985325,408.82652410901466
245,2349,656753.59,38.72902998833546,0.09348469587058322,279.58858663260963
280,2311,165138.5,42.41665990000001,-2.7348642,71.45759411510168
78,2233,393695.96,37.141847041782356,-1.8527591095387372,176.30808777429468
13,2228,261616.56,37.77873348361759,-3.787164864901256,117.42215439856373
37,2202,477720.56,41.11750962765667,1.2544003881017256,216.94848319709354
199,2157,516467.44,38.646547010292075,0.047310500741770976,239.4378488641632
69,2106,512970.16,41.984122390360874,2.8153558210351375,243.57557454890787
45,2084,403158.11,40.67303104649712,-4.6511002341650665,193.4539875239923
108,2035,510846.56,37.00898843425062,-6.561047793120394,251.0302506142506
11,2024,301068.01,41.3066924,-0.7521255,148.74901679841898
