cluster_id,booking_count,total_revenue,centroid_lat,centroid_lon,avg_revenue_per_booking
9,42243,10894072.1,40.41870949780082,-3.7014996791657793,257.890587789693
53,20695,11551743.26,41.391899641604255,2.1701399850785212,558.190058468229
0,18761,5588067.0,37.38992344465647,-5.994747840866691,297.8554981077768
57,16869,4298708.16,39.47227400562571,-0.3997573181160709,254.82886715276544
39,16399,1589399.05,42.30007211047625,-8.607468569412768,96.92048600524423
81,14786,2562597.78,39.8511665579129,-4.030214320749358,173.31244285134585
18,13419,3988255.89,36.71963830572323,-4.424475739570758,297.2096199418735
12,12471,1512965.61,42.883889172608455,-8.546576296175125,121.31870820303104
24,11852,5194307.14,36.523725362782656,-4.837009576468106,438.26418663516705
7,9174,878012.34,42.440731210715064,-2.9548402817200783,95.70659908436886
52,8097,1447729.34,36.01691413036927,-5.606345263332098,178.79823885389652
35,7497,1284861.23,42.91710137852474,-8.348994344431105,171.38338402027478
102,7292,1564291.63,37.17544022475316,-3.6000932087356006,214.52161684037299
32,6538,1764358.46,38.34658661290915,-0.48912447139798104,269.86210767818903
97,5959,1046901.07,37.88572467118644,-4.779837537640543,175.68401913072663
50,5904,820590.64,41.64096976256775,-4.717115285958672,138.98892953929538
51,5625,1806729.25,36.68661301731555,-6.132602096071111,321.19631111111113
5,5514,2608343.36,36.75205905745376,-3.880717153935437,473.04014508523755
33,5175,795792.79,40.948380607768115,-4.119507063884057,153.7763845410628
25,5133,452217.42,37.98330107481006,-1.1412697955386713,88.10002337814143
163,4717,503921.02,41.65498666131016,-0.8781181968200127,106.83082891668434
4,4696,566108.88,43.46197445138416,-3.8147003399063033,120.55129471890972
66,4651,999201.21,42.59684527946678,-5.571141046140615,214.83577940227906
169,4535,569743.9,36.86444187947078,-5.175149633142227,125.63261300992282
211,4526,1310784.87,43.322435461113564,-1.9815975217631463,289.6122116659302
42,4470,828578.31,38.887852801789705,-3.7129753638255036,185.36427516778525
62,4456,107086.65,42.78305834344704,-7.418107848384202,24.03201301615799
63,4333,371914.64,42.60572484890376,-8.6474575595892,85.83305792753289
91,4302,2002051.52,41.07187180753138,1.09400464697815,465.37692236169227
225,4211,814580.63,37.962477092780816,-0.7042897336737117,193.44113749703158
29,4186,775746.16,28.408755727042525,-16.540507741089346,185.31919732441472
168,4142,1174417.65,41.23670625248672,1.8096506249396427,283.53878561081603
15,4093,1209877.04,37.1281101,-6.810876,295.59663816271683
147,3882,1818714.76,28.05573348990211,-16.547441929263268,468.49942297784645
113,3861,780376.3,40.9685096969179,-5.66098318065268,202.11766381766384
49,3840,371746.08,42.43098661046875,-8.645453215989583,96.808875
190,3679,1890162.42,41.882767813753745,3.1428636471867355,513.7707039956509
229,3645,558910.5,43.35490740438957,-8.4018607563786,153.33621399176954
129,3582,874764.94,39.8888486876326,4.2675438412618645,244.21131769960914
27,3506,722312.3,43.36964946220765,-5.835768071363376,206.02176269252712
236,3466,501899.23,43.35369108179458,-8.214761442758222,144.80647143681477
125,3330,178207.97,42.782266772342346,-8.651430576126126,53.515906906906906
382,3318,624708.98,41.718433649065695,2.9317343868595542,188.278776371308
206,3232,981614.45,36.530562951330445,-6.295732037871287,303.71734220297026
204,3103,1310098.05,28.11680015572027,-15.431573223074443,422.20368997744123
2,3078,1968338.63,42.257944832098765,3.152021470240416,639.4862345679012
299,3069,310852.12,43.10434877666992,-9.218050422580644,101.2877549690453
3,3005,374603.79,42.062928716239604,-1.6062263075873544,124.66016306156405
216,2975,854441.87,28.513617733109243,-16.349903584436973,287.2073512605042
171,2948,1443031.01,42.04845606716418,3.1960336526797826,489.49491519674353
38,2925,384455.01,43.3822584,-3.2188099,131.43761025641027
232,2862,340807.6,41.67128406383648,1.269608321278826,119.08022361984625
226,2853,715642.98,40.87351410045566,0.15425269803715386,250.83875920084122
248,2797,385427.56,38.42666961984269,-6.420411163532356,137.8003432248838
182,2755,1218943.34,38.84022276805808,0.10398599056261343,442.44767332123416
75,2752,575270.1,42.339991882085755,-3.702497288372093,209.03710029069768
86,2721,421500.82,38.61564361933113,-1.125027512091143,154.90658581403895
187,2714,291016.5,42.92395191436994,-1.510638447752395,107.22789240972735
241,2668,151942.0,42.8074062,-7.617485400000001,56.94977511244378
122,2602,486894.09,42.49388594888547,-1.2145432943889316,187.1230169100692
61,2576,823853.32,36.253769726591614,-5.960518710287268,319.81883540372667
76,2526,805597.54,41.490910014924786,2.3190007891132227,318.922224861441
201,2491,280290.49,38.35659785941389,-0.7707438114010438,112.52127258129265
314,2467,337440.37,42.87862557665181,-7.806853235508715,136.7816659910823
178,2446,2104293.53,28.08797826573998,-16.717117449713818,860.299889615699
54,2422,308888.55,42.81377998212221,-1.6561489550784476,127.53449628406275
21,2398,340487.09,40.6347846,-3.1690621,141.98794412010008
96,2385,975051.26,39.163094134926624,-0.253875370985325,408.82652410901466
244,2348,656331.59,38.729029904982966,0.09348077125212947,279.5279344122657
278,2309,165004.5,42.41665990000001,-2.7348642,71.4614551754006
78,2233,393695.96,37.141847041782356,-1.8527591095387372,176.30808777429468
13,2217,260416.49,37.77871912129003,-3.787161960893098,117.4634596301308
37,2201,477713.86,41.11751053866424,1.25440305379373,217.044007269423
198,2157,516467.44,38.646547010292075,0.047310500741770976,239.4378488641632
69,2106,512970.16,41.984122390360874,2.8153558210351375,243.57557454890787
45,2084,403158.11,40.67303104649712,-4.6511002341650665,193.4539875239923
108,2035,510846.56,37.00898843425062,-6.561047793120394,251.0302506142506
11,2024,301068.01,41.3066924,-0.7521255,148.74901679841898
