original_city,canonical_city,changed,original_bookings,canonical_bookings
Banyalbufar,Banyalbufar,False,1700,1700
REDONDELA,Redondela ,True,1700,5561
San pedro de alcantara,"Marbella, Málaga",True,1655,6779
Benissa,Calpe,True,1648,2438
Fuencaliente de La Palma,Fuencaliente de La Palma,False,1636,1636
"Getxo, Bizkaia",Castro-Urdiales,True,1614,3920
Calafell,Sitges,True,1611,4574
Córdoba ,Córdoba,True,1608,5489
Blanes,Tossa de Mar,True,1602,2191
"Mijas, Málaga",Alhaurín el Grande,True,1594,2409
"Vilanova de la Muga, Girona",Roses,True,1584,3009
Cartagena,MURCIA,True,1583,4577
"Alcalá de Henares, Madrid",Guadalajara,True,1573,3510
"Espot, Lleida","Espot, Lleida",False,1567,1567
Sant Andreu De Llavaneres,Barcelona,True,1566,27987
"Rupit, Barcelona","Rupit, Barcelona",False,1566,1566
"Cambrils, Tarragona",Cambrils,True,1561,2341
San Sebastian ,San Sebastián-Donostia,True,1560,3497
Beranga,Santander,True,1559,6325
"Usurbil, Gipuzkoa",San Sebastián-Donostia,True,1556,3497
Jaén,Jaén,False,1536,1536
"Girona,","Vall-llobrega, Girona",True,1524,2228
Negreira,Santiago de Compostela,True,1522,9533
El Chorro,Alhaurín el Grande,True,1512,2409
Can Picafort,Can Picafort,False,1495,1495
"Sitges, Barcelona",Sitges,True,1482,4574
Estepona,"Marbella, Málaga",True,1481,6779
"San José de los Llanos, Santa Cruz de Tenerife","San José de los Llanos, Santa Cruz de Tenerife",False,1468,1468
"Sepúlveda, Segovia",Segovia,True,1465,7214
"Ochagavía, Navarra","Zubiri, Navarra",True,1460,2642
"Dénia, Alicante",Denia,True,1460,2751
Cacabelos,"Pedrafita do Cebreiro, Lugo",True,1449,3013
Alaró,Alaró,False,1437,1437
"Los Santos de la Humosa, Madrid",Guadalajara,True,1436,3510
Espinosa de los Monteros,Castro-Urdiales,True,1433,3920
"Cazorla, Jaén","Cazorla, Jaén",False,1425,1425
Cabrils,Barcelona,True,1415,27987
Sos Del Rey Catolico,Sos del Rey Católico,True,1406,2077
Barcelona ,Barcelona,True,1403,27987
Artà,Artà,False,1403,1403
"Tossa de Mar, Girona",Tossa de Mar,True,1392,2191
Palma de Mallorca ,Palma de Mallorca ,False,1386,1386
Jaén ,Jaén ,False,1379,1379
Ceuta,"Tarifa, Cádiz",True,1366,3262
Aínsa,Aínsa,False,1360,1360
Villaciervos,Villaciervos,False,1349,1349
TOSSA DE MAR,Tossa de Mar,True,1345,2191
