"id","number_of_rooms","max_occupancy","pricing_per_person_activated","max_adults","events_allowed","pets_allowed","smoking_allowed","children_allowed"
"62757",1,1,False,1,False,False,False,False
"64332",1,2,False,2,False,False,False,False
"58496",1,8,False,8,False,False,False,False
"18856",1,2,False,2,False,False,False,False
"81105",1,1,True,1,False,False,False,False
"81104",1,3,False,3,False,False,False,False
"9370",1,5,False,5,False,False,False,False
"15971",6,4,False,4,False,False,False,False
"81106",1,1,True,1,False,False,False,False
"60792",1,2,False,2,False,False,False,False
"93291",1,3,False,3,False,False,False,False
"10588",1,4,True,4,False,False,False,False
"10277",12,2,True,2,False,False,False,False
"55250",1,4,False,3,False,False,False,False
"59386",1,2,False,2,False,False,False,False
"71501",1,1,True,1,False,False,False,False
"89183",1,1,False,1,False,False,False,False
"58504",1,2,True,2,False,False,False,False
"59429",1,2,False,2,False,False,False,False
"21296",1,6,True,6,False,False,False,False
"62692",1,2,False,2,False,False,False,False
"15969",1,4,True,4,False,False,False,False
"59076",1,10,True,10,False,False,False,False
"58468",1,10,True,10,False,False,False,False
"79634",1,4,False,4,False,False,False,False
"44418",1,2,True,2,False,False,False,False
"39351",1,4,False,2,False,False,False,False
"2067",1,4,True,3,False,False,False,False
"57691",1,16,False,16,False,False,False,False
"58978",1,2,False,2,False,False,False,False
"10278",1,2,True,2,False,False,False,False
"79688",1,2,False,2,False,False,False,False
"10279",1,4,True,4,False,False,False,False
"44696",1,14,False,14,False,False,False,False
"36079",1,10,False,8,False,False,False,False
"76480",1,4,False,4,False,False,False,False
"32167",1,2,False,2,False,False,False,False
"60492",1,6,False,6,False,False,False,False
"82987",1,4,True,2,False,False,False,False
"79397",1,2,False,2,False,False,False,False
"18463",2,2,True,2,False,False,False,False
"40266",1,4,False,4,False,False,False,False
"58897",1,2,True,2,False,False,False,False
"58913",1,2,False,2,False,False,False,False
"70835",1,3,True,2,False,False,False,False
"57813",1,4,False,4,False,False,False,False
"18263",8,1,False,1,False,False,False,False
"70836",1,3,True,2,False,False,False,False
"62690",1,4,False,4,False,False,False,False
