"id","hotel_id","address","city","zip","country","latitude","longitude"
"8997","9168","Les Calès ","Moissac-Vallée-Française","48110","FR","44.140942","3.776788"
"19555","19724","La Closerie de la Hérissière","La Jaille-Yvon","49220","FR","47.71649799999999","-0.6738451"
"28531","28702",NULL,NULL,NULL,"IE",NULL,NULL
"22774","22945","Via Ogliastra, 12,","Selargius CA","09047","IT","39.2615438","9.1124355"
"26087","26258",NULL,NULL,NULL,"FR","46.227638","2.213749"
"28532","28703",NULL,NULL,NULL,"FR","46.227638","2.213749"
"28533","28704",NULL,NULL,NULL,"CO",NULL,NULL
"26091","26262","247 rue de la Tuilerie","Tencin","38570","FR","45.3014716","5.9530352"
"24878","25049","Via del Capezzuolo 23-25-27","Roccastrada - Montemassi","58027","IT","42.9913822","11.06354"
"26093","26264","Sede legale: Via Locatelli 20","Verona","37122","IT","45.4323576","10.987386"
"26094","26265"," Via Carbonara 105","Napoli ","80139","IT","40.8546143","14.2624238"
"25866","26037","Rua Padre Leonardo, 541","São Paulo","04625-022","BR","-23.6321378","-46.6678861"
"28534","28705",NULL,NULL,NULL,"CO",NULL,NULL
"25398","25569","Rua Direita 6","Zambujeira do Mar","7630-769","PT","37.5231104","-8.7861701"
"26096","26267",NULL,NULL,NULL,"CO",NULL,NULL
"17671","17840","25 Av. de la Promenade","Vic-Sur-Cère","15800","FR","44.98092889999999","2.6359744"
"25679","25850","683 Rue de Gérardmer","Anould","88650","FR","48.184939","6.945457999999999"
"7845","8016","Rte du Lion 367","Waterloo","1410","BE","50.6802723","4.4105126"
"26089","26260","60 Avenue Gabriel Péri","Bezons","95870","FR","48.93061789999999","2.2128872"
"26098","26269","Rua do Bonfim 234, Bonfim","Porto","4300-066","PT","41.1495897","-8.5962858"
"25984","26155"," Carrer sa Punta Llarga  7","Begur","17255","ES","41.971716","3.208315"
"14544","14713","Rte de Sorede","Argelès-sur-Mer","66700","FR","42.540662","3.000995"
"26088","26259","33 Rodborough Avenue","Stroud","GL5 3RR","GB","51.7422639","-2.223372"
"26886","27057",NULL,NULL,NULL,NULL,NULL,NULL
"26889","27060",NULL,NULL,NULL,NULL,NULL,NULL
"26893","27064",NULL,NULL,NULL,NULL,NULL,NULL
"26894","27065",NULL,NULL,NULL,NULL,NULL,NULL
"4286","4442","La Bertonnerie,","Prunay","51360","FR","49.2132829","4.15783"
"26101","26272","Agricola Pantitlan","Ciudad de México","08100","MX","19.4104167","-99.0648318"
"5512","5669","2 Rue de Provence,","Avignon","84000","FR","43.9397633","4.8062035"
"8724","8895","14 Cr Irénée Cros,","Foix,","09000","FR","42.9681703","1.6083042"
"25788","25959","Calle Coauhila 724","Playas De Rosarito","22707","MX","32.3552084","-117.0521812"
"25795","25966","Camí de Sa Torre, Poligono 40-parcela 21","Llucmajor","07609","ES","39.4573844","2.8311783"
"11443","11612","Quinta de Malta, R. Sra. do Loreto 152,","Durrães","4905-070","PT","41.6352365","-8.665186799999999"
"1759","1786","Viale Sportelli, 16","Selva di Fasano BR","72015","IT","40.8075813","17.3439189"
"13094","13263","Via Olta, 187/C","Livigno SO","23041","IT","46.5490663","10.138441"
"26109","26280","Via Rossa 46","Trepalle","23041","IT","46.5272614","10.175281"
"7800","7971","Jean Curtius, N° 19","Liérganes","39722","ES","43.3428842","-3.742735499999999"
"26107","26278",NULL,NULL,NULL,"FR","46.227638","2.213749"
"26102","26273",NULL,NULL,NULL,"ES","46.227638","2.213749"
"4912","5068","280 Chemin de la Roche","Labatie-d'Andaure","07570","FR","45.0210656","4.4895491"
"26103","26274",NULL,NULL,NULL,"MX",NULL,NULL
"26108","26279",NULL,NULL,NULL,"ES",NULL,NULL
"26104","26275",NULL,NULL,NULL,"MX",NULL,NULL
"26105","26276",NULL,NULL,NULL,"FR","46.227638","2.213749"
"26106","26277",NULL,NULL,NULL,"MX",NULL,NULL
"6725","6896","Rúa Principal, 96","Mourisca, Province of Ourense","32556","ES","42.4124028","-8.026767"
"13464","13633","665 Chem. de Camparade","Pouillon","40350","FR","43.5949259","-0.9862865999999999"
"8349","8520","Via Marcello Collomb, 18","La Thuile","11016","IT","45.7174828","6.9481427"
"25212","25383","Rua José Joaquim de Andrade, 179","Porto","4455-592 ","PT","41.2254162","-8.687164899999999"
"25626","25797","Rio de Janeiro","Brasil","","BR","-22.9068467","-43.1728965"
"26887","27058",NULL,NULL,NULL,NULL,NULL,NULL
"25145","25316"," Via San Bartolo, 8","Stromboli","98050","IT","38.8084904","15.2297468"
"24489","24660","10 route de Costebille","Le Vignon en Quercy","46110","FR","44.9943452","1.6345736"
"5330","5487","9 Rue de l'Oumade","Chenac-Saint-Seurin-d'Uzet","17120","FR","45.5158061","-0.8271585"
"26116","26287","Via di Dossi 18 ","Vermiglio","38029","IT","46.2935677","10.6842223"
"10351","10520","Chemin de Fontaine Basse ","Gordes","84220","FR","43.9099308","5.198557"
"28536","28707",NULL,NULL,NULL,"CO",NULL,NULL
"26113","26284",NULL,NULL,NULL,"FR","46.227638","2.213749"
"25808","25979","Via Ceglie-Martina snc","Ceglie Messapica","72013","IT","40.5840937","17.4759618"
"21747","21916","Calle Hermanos Aldama 123","Leon Guanajuato","37000","MX","21.1224803","-101.6806126"
"27196","27367","Calle Plaza del Mercado 2-3","Logroño","26001","ES","42.46663300000001","-2.4463088"
"28538","28709",NULL,NULL,NULL,"MX",NULL,NULL
"26038","26209","","","","GB","51.5276666","0.0063836"
"25811","25982","Calle las ventas, urb las lolas","Marbella","29660","ES","36.495835","-4.961944"
"26117","26288","Via Salvatore Maiorana 12","Milazzo","98057","IT","38.2235769","15.2367825"
"26119","26290",NULL,NULL,NULL,"FR","46.227638","2.213749"
"26115","26286","corso Vittorio Alfieri 407","ASTI","14100","IT","44.89879579999999","8.1954111"
"28539","28710",NULL,NULL,NULL,"MX",NULL,NULL
"26110","26281","175 rue Jules ferry","Colombes","92700","FR","48.91989359999999","2.2308758"
"7684","7855","30 Rue Principale","Thonville","57380","FR","48.98486","6.562417099999999"
"25730","25901","1069 AVENUE DE SAVOIE","VIUZ EN SALLAZ","74250","FR","46.1481267","6.410178399999999"
"23592","23763","1410 Chem. des Pêchers","Avignon","84000","FR","43.9678325","4.8460277"
"4867","5023","24 et 26 Rue du Four À Chaux","Nouan-le-Fuzelier","41600","FR","47.5323657","2.0291115"
"7491","7662","23 chemin de la Touloubre","Cornillon-Confoux","13250","FR","43.5629269","5.0668615"
"5484","5641","350, chemin de Bessou / Lieu-dit, Bessou","Clermont-Dessous","47130","FR","44.250011","0.470733"
"12232","12401","2 Virolon","Ardentes","36120","FR","46.6949793","1.8497269"
"3551","3667","6 Rue des Tonneliers","Strasbourg","67000","FR","48.5798078","7.7495275"
"26114","26285","Calle del Cuartel, 4","Navacerrada","28491","ES","40.7294376","-4.014019"
"26120","26291","","Remera, Kigali","","RW","-1.9515418","30.1098472"
"15343","15512","1a Rue du 11 Novembre","Pendé","80230","FR","50.1577098","1.5861145"
"10083","10254","lotissement le pré des, 1a Chem. des Autures","L'Isle-sur-la-Sorgue","84800","FR","43.9306269","5.0487183"
"26020","26191","Calle Ramón Gómez de la Serna, 22","Marbella, Málaga","29602","ES","36.5099304","-4.901203"
"3884","4018","12 Rue de la Plage Saint-Gabriel","Camiers","62176","FR","50.5689127","1.6091252"
"9549","9720","14 Rue Georges Delerue","Les Epesses","85590","FR","46.8872445","-0.8948239"
"20618","20787","Via Nuova Eremitaggio, 2b","Castellammare di Stabia NA","80053","IT","40.690617","14.4931858"
"6547","6718","Via S. Chiara, 21","Berruiles SS","07051","IT","40.7284231","9.663523399999999"
"1394","1407","143 Bd de la Blancarde","MARSEILLE","13004","FR","43.30361509999999","5.4055452"
"28535","28706",NULL,NULL,NULL,"CR",NULL,NULL
"5783","5954","Via Castello, 29","Marsala","91025","IT","37.8010692","12.4379797"
"10795","10964","Via Occhipinti, 2","Modica","97015","IT","36.8573266","14.7582094"
"888","893","Hameau, 10 Blègny","Salins-les-bains","39110","FR","46.9297706","5.9040235"
"3851","3985"," 15 Rte Chez Touzeau","Retaud","17460","FR","45.673511","-0.7575879999999999"
"26125","26296",NULL,NULL,NULL,"ES",NULL,NULL
"21598","21767","Via degli Aceri, 1","Villaggio Mosè","92100","IT","37.2769694","13.6087121"
"10295","10464","Viale Atene, 81","Rimini RN","47924","IT","44.0304623","12.6174712"
"26126","26297",NULL,NULL,NULL,"FR","46.227638","2.213749"
"28540","28711",NULL,NULL,NULL,"MX",NULL,NULL
"6687","6858","Vico S. Leonardo, 3","Matera","75100","IT","40.6619217","16.6114243"
"26128","26299",NULL,NULL,NULL,"PT",NULL,NULL
"26130","26301",NULL,NULL,NULL,"IT",NULL,NULL
"2114","2170","5 Rue des Nereides Villa 115","Agde","34300","FR","43.2969584","3.5261335"
"26131","26302",NULL,NULL,NULL,"FR","46.227638","2.213749"
"26139","26310",NULL,NULL,NULL,"ES",NULL,NULL
"26129","26300","VIA PRIVATA GUGLIELMO MARCONI 4","OLIVETO LARIO","23865","IT","45.93005780000001","9.2845285"
"26133","26304","15 Rue Guillaume Onfroy","Saint-Malo","35400","FR","48.6323049","-1.986804"
"26124","26295","Rua Araxá, 317, Jardim Real","Praia Grande SP","11707-390","BR","-24.0599643","-46.5520793"
"21655","21824","46 Bize Domaine de Bize","Mirepoix","09500","FR","43.1017353","1.8709757"
