market_segment,high_price_hotel,low_price_hotel,high_price,low_price,high_occupancy,low_occupancy,price_diff_pct,match_distance,room_type,room_view,month,capacity,days_in_month,dist_coast_diff,dist_madrid_diff,price_avg,occ_avg,price_pct_change,occ_pct_change,arc_elasticity,current_revenue,counterfactual_occ,counterfactual_revenue,opportunity
False_False,7625,5956,164.0,72.63727272727273,0.018817205,0.032258064,1.2577940200998734,2.932955062272717,apartment,mountain_view,2023-01-01 00:00:00,11.0,31,3.403336759313781,195.2607892249061,118.31863636363636,0.025537634,0.7721752893765295,-0.52631575,-0.6816013875767991,799.0099761876464,0.0152801366835984,854.5263638935569,55.51638770591046
False_False,6490,5956,270.0,72.63727272727273,0.015053763,0.032258064,2.717099911140036,1.4846608652573996,apartment,mountain_view,2023-01-01 00:00:00,11.0,31,12.891418862368091,45.593926955121105,171.31863636363636,0.023655914,1.1520213530874157,-0.7272727,-0.6313013967956488,799.0099761876464,0.00879765492030948,810.0000885128939,10.990112325247424
False_False,6490,7625,270.0,164.0,0.015053763,0.018817205,0.6463414634146342,2.166498316483766,apartment,landmark_view,2023-01-01 00:00:00,12.0,31,16.294755621681873,240.8547161800272,217.0,0.016935484,0.48847926267281105,-0.22222228,-0.45492675014824235,1148.0000415444374,0.014635602722173624,1469.999937415119,321.9998958706815
False_False,9855,7314,121.06333333333333,74.56382978723404,0.010752688,0.010829493,0.6236201074808579,1.1695378585438874,apartment,no_view,2023-01-01 00:00:00,140.0,31,100.392473360605,37.282888987118724,97.8135815602837,0.010791091,0.4753890288481164,-0.0071174675,-0.014971879944279873,3504.5001022200636,0.010752414836454512,5649.478607640436,2144.9785054203726
False_False,11735,9131,385.0,104.75,0.017857144,0.035714287,2.675417661097852,2.8961678725574997,apartment,mountain_view,2023-02-01 00:00:00,3.0,28,96.84132528440833,223.3325788912879,244.875,0.026785716,1.144461459928535,-0.6666666,-0.5825155763409161,314.2500140480697,0.011904763856104505,385.00006310641976,70.75004905835004
False_False,11735,8733,385.0,109.6,0.017857144,0.035714287,2.5127737226277373,2.7740874889168707,apartment,mountain_view,2023-02-01 00:00:00,10.0,28,66.15765925777157,46.91827323649801,247.3,0.026785716,1.1136271734735137,-0.6666666,-0.5986443603480305,1096.000048995018,0.011904763856104505,1283.333543688066,187.3334946930479
False_False,9855,7314,171.66666666666666,85.00384615384615,0.011904762,0.012380952,1.0195164623018564,1.0551242398102996,apartment,no_view,2023-02-01 00:00:00,150.0,28,100.392473360605,37.282888987118724,128.33525641025642,0.012142858,0.6752845861450626,-0.039215636,-0.05807275378839269,4420.199869534431,0.011895425114032805,8576.601507217652,4156.401637683221
False_False,10241,7314,170.91090909090906,85.00384615384615,0.007857143,0.012380952,1.010625599006215,1.2136120232637089,apartment,city_view,2023-02-01 00:00:00,150.0,28,101.61517810373358,158.7204208999317,127.9573776223776,0.010119047,0.6713724877246874,-0.4470588,-0.6658878715714617,4420.199869534431,0.006845938503199589,4914.191407281656,493.99153774722527
False_False,11735,9131,293.57142857142856,51.84375,0.016129032,0.032258064,4.662619478171015,2.470766545888237,apartment,mountain_view,2023-03-01 00:00:00,8.0,31,96.84132528440833,223.3325788912879,172.70758928571428,0.024193548,1.39963553177465,-0.6666667,-0.4763144914516353,414.7499876394868,0.010752687210677792,782.8570728642613,368.10708522477455
False_False,11783,10289,193.0484615384616,81.8,0.018637992,0.032258064,1.3600056422794817,2.375293212118254,apartment,city_view,2023-03-01 00:00:00,7.0,31,173.3423990578145,220.76817749828402,137.4242307692308,0.025448028,0.8095258086274117,-0.53521127,-0.6611416947837685,572.5999829351903,0.014993184550357697,628.0872327889062,55.48724985371598
False_False,11783,12867,193.0484615384616,80.0,0.018637992,0.032258064,1.41310576923077,2.347632236344561,apartment,city_view,2023-03-01 00:00:00,2.0,31,19.59134812100568,72.94438410730072,136.5242307692308,0.025448028,0.8280468668565458,-0.53521127,-0.6463538315396462,159.99999523162842,0.014993184550357697,179.45349508254463,19.453499850916216
False_False,7625,12867,186.68923076923076,80.0,0.019969279,0.032258064,1.3336153846153844,1.795605905186949,apartment,landmark_view,2023-03-01 00:00:00,2.0,31,0.02046503840148972,94.50938577857272,133.3446153846154,0.02611367,0.8001015298705493,-0.47058818,-0.588160576969136,159.99999523162842,0.017077800218701533,197.6709659357194,37.67097070409099
False_False,9855,7314,155.04166666666666,78.18695652173912,0.010752688,0.011184957,0.9829607592355745,2.2689457818667167,apartment,no_view,2023-03-01 00:00:00,199.0,31,100.392473360605,37.282888987118724,116.61431159420289,0.010968823,0.6590504123744974,-0.03940885,-0.05979641416645575,5394.899920483532,0.010744170574719616,10276.2838822055,4881.383961721968
False_False,12648,6490,585.0,258.0,0.010752688,0.013077593,1.2674418604651163,2.0463349126151367,apartment,mountain_view,2023-03-01 00:00:00,37.0,31,69.37989457249898,124.98672302114858,421.5,0.011915141,0.7758007117437722,-0.19512193,-0.25151037643535423,3869.999907011166,0.010525868155328674,7062.8049028847645,3192.8049958735983
False_False,11735,8733,381.875,122.6,0.016666668,0.033333335,2.1148042414355626,2.5039496372837164,apartment,mountain_view,2023-04-01 00:00:00,15.0,30,66.15765925777157,46.91827323649801,252.2375,0.025000002,1.0279002923831704,-0.6666666,-0.6485712980824053,1839.0000959113238,0.011111113015148444,1909.3753271969154,70.37523128559155
