hotel_id,avg_price_premium,median_residual_pct,diagnosis,n_months,avg_revpar,avg_peer_revpar,avg_n_peers,market_segment,city
19450,-0.04167584303784159,0.9786997369254313,UNDERPRICING,14,36.51419096007797,18.258293391684276,17.357142857142858,Coastal/Resort,other
24129,-0.6031746031746031,-0.838874676705474,OVERPRICING,3,2.5000001303851604,41.47238586080074,11.666666666666666,Provincial/Regional,other
22545,-0.4090998365451205,0.1147658770905855,FAIR,4,7.9348193279480475,10.126639719289436,1.25,Coastal/Resort,other
24004,-0.428315594008244,0.050302052367893826,FAIR,8,45.20064889249476,51.95806384831667,4.625,Provincial/Regional,other
23759,0.6273863091253846,-0.4829780870996838,OVERPRICING,8,13.54699397833937,29.249877034112266,6.0,Coastal/Resort,other
15298,-0.3051030370161107,0.013284420124801296,FAIR,7,33.1182517011712,47.93534347810091,3.0,Coastal/Resort,malaga
9038,-0.09940194966217662,0.5335346525475153,UNDERPRICING,17,36.45483523460105,32.43392169156075,6.0588235294117645,Coastal/Resort,other
26198,-0.3919502175045047,-0.7259980457443928,OVERPRICING,9,2.5308041522302376,6.692485876452867,8.555555555555555,Provincial/Regional,other
26973,0.6449159036206419,-0.3825224926958552,OVERPRICING,6,22.787078989469578,19.557660646485964,16.833333333333332,Provincial/Regional,other
11684,1.52343279806711,-0.380840170721632,OVERPRICING,3,8.681290526573473,14.224193430085514,1.0,Provincial/Regional,other
14420,0.09224309953048343,0.33504927211164415,UNDERPRICING,16,35.829220679579876,28.33043687344928,1.6875,Coastal/Resort,other
23879,2.2669715314169068,0.5026283095658712,UNDERPRICING,4,44.96774059534073,54.87499246321086,6.25,Provincial/Regional,other
20614,0.7520666859762382,-0.5778479825202836,OVERPRICING,4,7.157741722166538,21.20249869607327,1.75,Coastal/Resort,other
20985,0.6385694225778882,0.30265127539991205,UNDERPRICING,10,19.74802658742416,9.897452134273497,40.7,Provincial/Regional,other
20353,0.5,-0.6577649546222359,OVERPRICING,9,6.816666831728071,28.27512732263513,6.888888888888889,Coastal/Resort,other
19025,-0.5271354092614515,0.9696550851867005,UNDERPRICING,9,19.50833286821842,15.75000062584877,2.111111111111111,Coastal/Resort,other
24592,-0.441887980842464,0.9532235007598372,UNDERPRICING,7,11.369231387096292,7.037634198864301,2.4285714285714284,Provincial/Regional,other
6542,-0.3983481090393266,0.7425606761846433,UNDERPRICING,9,14.302143023479276,12.059666915486256,7.666666666666667,Provincial/Regional,other
10345,0.037362831858407025,-0.5979834882204348,OVERPRICING,3,5.655333417604368,16.732363164592794,21.0,Provincial/Regional,other
15375,-0.4404306369376749,2.196180806688717,UNDERPRICING,3,41.2434149907354,19.16428623783092,1.0,Provincial/Regional,toledo
12923,0.19460203368060425,2.0047797249596226,UNDERPRICING,14,66.40149136897685,18.948446376677175,3.7857142857142856,Coastal/Resort,other
20205,-0.2735376736326712,0.28048011077077073,UNDERPRICING,12,34.174933314634956,34.954818083140985,13.166666666666666,Coastal/Resort,other
24326,-0.2643617907788251,0.2106921797231588,UNDERPRICING,7,24.66628190697659,43.89836320903821,8.285714285714286,Coastal/Resort,other
24674,-0.06758176821173814,-0.4001302279361242,OVERPRICING,5,8.363064739935252,14.814604629363334,28.0,Provincial/Regional,other
18505,-0.6771971598997615,0.23923380384013318,UNDERPRICING,10,28.92386494278908,54.75483707785607,9.4,Urban/Madrid,other
23665,0.2848627146825269,2.006296418534975,UNDERPRICING,9,40.70516224681185,16.14988431132265,9.777777777777779,Provincial/Regional,other
15530,-0.21686332908788075,1.908483241743961,UNDERPRICING,13,27.448963474145692,11.375945610483896,23.0,Provincial/Regional,other
26147,-0.467104029990628,-0.19051710079131232,OVERPRICING,5,20.96774131059647,41.91542404928377,9.6,Coastal/Resort,other
27256,-0.29665529010238906,-0.9267006003350816,OVERPRICING,3,2.374193642139435,55.14994765122023,6.0,Coastal/Resort,other
