hotel_id,city,current_price,peer_price,current_occ,current_revpar,elasticity,elasticity_method,optimal_price,optimal_price_change_pct,expected_occ,expected_revpar,revpar_gain_pct,n_days,recommendation
307,Pals,3191.8127272727274,2060.4787541022083,1.0,3191.8127272727274,0.00468754916810309,market_fallback,3064.140218181819,-3.999999999999976,0.95,2910.933207272728,-8.799999999999985,11,HOLD
1067,Lekeitio (Bizkaia),225.67256756756757,358.12164582625707,1.0,225.67256756756757,-0.07717083172906988,estimated,338.5088513513515,50.000000000000064,0.95,321.5834087837839,42.50000000000006,74,RAISE
1384,Miño,108.87362421924936,185.28909534270872,0.25776428,28.063731340704354,0.03313420489834776,estimated,163.31043632887412,50.000000000000064,0.26203468707426286,42.79299907939786,52.48506536737614,606,RAISE
1404,"Talarn, Lérida",367.4237837837838,428.36220435381495,1.0,367.4237837837838,-0.09551309537984441,estimated,551.1356756756759,50.000000000000064,0.95,523.5788918918921,42.50000000000006,37,RAISE
1747,Tarifa,674.7939880952381,1131.130427574254,0.2613095,176.33008267479994,0.03596816271540548,estimated,1012.1909821428576,50.000000000000064,0.2660089158976025,269.25182584115106,52.69761220365545,140,RAISE
1833,Sevilla,871.2192649199418,408.84705025734354,0.34352255,299.28346234052634,0.0037734275155316857,estimated,609.8534854439592,-30.0,0.3431336714443238,209.2612655035032,-30.079241977826154,229,LOWER
2016,"Mogarraz, Salamanca",97.55226666666667,178.70574702409175,0.40586668,39.5932148452282,-0.017896632075661258,estimated,146.32840000000007,50.000000000000064,0.40223485918495006,58.85838336875908,48.65775259432547,250,RAISE
2112,,1656.5,1000.6851176113587,0.8875,1470.1437302529812,-0.013397216196275501,estimated,1490.8500000000001,-9.99999999999998,0.8886889910005198,1324.901982233125,-9.879425054233517,40,LOWER
2130,Sevilla,896.2233333333334,894.7679166666667,0.5833333,522.7969266380867,0.5,estimated,1335.3727666666673,49.00000000000007,0.7262499752640726,969.8144387599834,85.50500000000014,48,RAISE
2226,Very Cool Cool City,457.7814102564102,451.71559086259015,0.13192257,60.391701444467664,0.01667996174557026,estimated,320.4469871794871,-30.0,0.13126243381062055,42.0626514444602,-30.35027919665698,52,LOWER
2254,Múnter (Muntanyola),302.1332102908278,447.8123356918778,0.40346757,121.90095089580157,-0.06559941858463261,estimated,453.19981543624186,50.000000000000064,0.3902339469086218,176.8539527159436,45.0800436061526,149,RAISE
2385,"Vall-llobrega, Girona",348.22942947281524,191.773498323691,0.20474048,71.29666039709693,0.023181910868462538,estimated,285.5481321677085,-17.99999999999999,0.20388614998969093,58.21930930442151,-18.342165004418508,301,LOWER
2950,Fontanilles,625.8056122733612,425.96132524634885,0.32880056,205.76523516828146,-0.03159883996728175,estimated,638.3217245188287,2.0000000000000293,0.32859276471895665,209.74790023981413,1.935538366466771,239,HOLD
3422,"Los Santos de la Humosa, Madrid",99.79669253510717,196.4982507540484,0.5063193,50.52898995376303,0.03380493755059857,estimated,149.69503880266083,50.000000000000064,0.5148773303346504,77.07458194305592,52.53537031629496,451,RAISE
3444,Barcelona,1553.7840625,1700.2875926752645,1.0,1553.7840625,-0.0015574088932148974,estimated,2330.6760937500007,50.000000000000064,0.95,2214.142289062501,42.500000000000064,32,RAISE
3532,Viladrau,188.72042574656982,171.00572418867753,0.27986282,52.81583074903241,0.029064739804459772,estimated,254.77257475786936,35.00000000000006,0.2827097701288389,72.02669604492968,36.373308955760805,236,RAISE
3608,"Deba, Pais Vasco",154.12572158365262,177.8356381230629,0.38403577,59.18978956790415,0.012183317970830962,estimated,231.18858237547903,50.000000000000064,0.38637518105015994,89.32553037205552,50.91374884781239,261,RAISE
3790,Valencia,469.81560773480663,404.9638832754329,0.5524862,259.56663101335255,0.02873399596760646,estimated,606.0621339779008,29.000000000000053,0.5570899706134484,337.6311364076726,30.07493878914825,181,RAISE
4019,Playa del Ingles,550.9854365079365,249.04199624615782,0.125,68.87317956349206,0.020320222241415983,estimated,385.6898055555555,-30.0,0.1242379916659469,47.91732684825178,-30.42672466706974,42,LOWER
4084,Toledo Castilla-La Mancha España,116.82198795180723,110.56109632581008,0.3683735,43.034126123355094,0.09927351375573523,estimated,164.71900301204826,41.000000000000064,0.38336710376488825,63.14784711976885,46.73900183021915,166,RAISE
4527,"La Pobla de Cérvoles, Lleida",308.5838775510204,152.23492965104055,0.35782313,110.4184500032055,0.031099604057443136,estimated,228.3520693877551,-25.999999999999996,0.35492981244752625,81.04895715980042,-26.5983563820652,49,LOWER
4950,Jerez de la Frontera,414.6981435840603,449.71052032385194,0.20507562,85.0444795739073,0.01282627867625722,estimated,622.0472153760907,50.000000000000064,0.20639080014112512,128.38482250703015,50.96197090071936,333,RAISE
5493,La Estrella (Toledo),311.6666666666667,333.75655555555556,1.0,311.6666666666667,0.29649735820478273,estimated,467.5000000000002,50.000000000000064,0.95,444.12500000000017,42.50000000000004,30,RAISE
5661,"Mijas Costa, (Málaga)",360.40863799283153,415.4079887992604,0.55376345,199.58113049351826,-0.06963707932319696,estimated,540.6129569892476,50.000000000000064,0.5344822145732102,288.94801047858465,44.77721905076028,93,RAISE
5671,Benialí,167.31972222222223,145.67130219752573,0.32837304,54.943286629360585,0.013125207950939738,estimated,217.515638888889,30.000000000000053,0.32966603407849915,71.70751802255099,30.511883110086707,36,RAISE
5681,,1116.9990625,878.1355658388791,0.625,698.1244140625,0.00468754916810309,market_fallback,1306.8889031250005,17.000000000000043,0.625498052099111,817.4564632146316,17.093235352953627,16,RAISE
