hotel_id,admin1,room_category,diagnosis,current_price,peer_price,current_occ,current_revpar,optimal_price,optimal_price_change_pct,expected_occ,expected_revpar,revpar_gain_pct,recommendation
1067,National,standard,UNDERPRICING,225.67256756756757,279.613031176197,1.0,225.67256756756757,338.5088513513515,50.000000000000064,0.7999999999999997,270.8070810810811,20.000000000000004,RAISE
1384,National,standard,QUALITY_ISSUES,109.48228930839943,325.2698519892813,0.25754556,28.196677575525037,164.22343396259922,50.000000000000064,0.20603644847869865,33.83601309063004,19.999999999999986,RAISE
1404,National,standard,EXCEPTIONAL_VALUE,367.4237837837838,348.17459576411704,1.0,367.4237837837838,521.7417729729732,42.000000000000064,0.8319999999999997,434.0891551135136,18.14400000000002,RAISE
1747,National,standard,EXCEPTIONAL_VALUE,548.5583333333334,374.47596877590735,0.26957995,147.88032642354568,559.5295000000002,2.0000000000000293,0.2674233074188232,149.6312294884005,1.1840000000000201,HOLD
1833,National,standard,EXCEPTIONAL_VALUE,698.3306181015453,361.2120073611009,0.32505518,226.99598614929658,537.7145759381899,-22.999999999999993,0.3549602587223053,190.86730499377458,-15.915999999999983,LOWER
2016,National,standard,FAIR,97.55226666666667,311.5033535651155,0.40586668,39.5932148452282,68.28658666666666,-30.0,0.45457068443298343,31.041080438658906,-21.6,LOWER
2112,National,standard,EXCEPTIONAL_VALUE,1400.0,631.5174614055209,0.75,1050.0,979.9999999999999,-30.0,0.8400000000000001,823.1999999999999,-21.600000000000005,LOWER
2130,National,standard,EXCEPTIONAL_VALUE,679.328064516129,345.5746126527345,0.58064514,394.4485418345274,516.289329032258,-23.999999999999993,0.6363870778083802,328.559857406488,-16.70399999999999,LOWER
2226,National,standard,QUALITY_ISSUES,213.39083333333332,294.6746730742589,0.13153723,28.068838872835038,149.3735833333333,-30.0,0.14732169628143313,22.00596967630267,-21.6,LOWER
2254,National,standard,UNDERPRICING,298.76856981981985,354.217052253615,0.40506756,121.02145649492338,448.15285472973,50.000000000000064,0.3240540504455565,145.22574779390808,20.000000000000018,RAISE
2385,National,standard,EXCEPTIONAL_VALUE,461.4258677865391,349.70830049836655,0.19864585,91.66033143696144,452.1973504308084,-1.999999999999974,0.2002350118160248,90.54574180668803,-1.21599999999996,HOLD
2950,National,standard,EXCEPTIONAL_VALUE,528.8684122383253,330.32679877051737,0.33800322,178.75922532711743,491.8476233816426,-6.999999999999979,0.34746730828285216,170.9009697817374,-4.3959999999999795,LOWER
3422,National,standard,FAIR,99.79669253510717,290.12748965354234,0.5063193,50.52898995376303,149.69503880266083,50.000000000000064,0.4050554275512694,60.634787944515644,20.000000000000014,RAISE
3444,National,standard,EXCEPTIONAL_VALUE,800.318,386.2633101113468,1.0,800.318,576.2289599999999,-27.999999999999996,0.95,547.4175119999999,-31.600000000000016,LOWER
3532,National,standard,FAIR,199.3179549496147,295.5687721363847,0.280083,55.82557090769134,298.97693242442216,50.000000000000064,0.224066400527954,66.99068508922961,20.000000000000004,RAISE
3608,National,standard,FAIR,180.1689714993804,307.7130351784502,0.3800496,68.47314308173003,270.2534572490707,50.000000000000064,0.30403966903686513,82.16777169807604,20.000000000000004,RAISE
3790,National,standard,EXCEPTIONAL_VALUE,452.3429190751445,317.3725697533291,0.5520231,249.70374622909148,474.96006502890185,5.000000000000032,0.5409826505184173,256.9451548697352,2.900000000000018,RAISE
4019,National,standard,EXCEPTIONAL_VALUE,806.0928505291006,401.12072854839835,0.14715607,118.62145968175784,564.2649953703703,-30.0,0.16481480360031128,92.99922439049814,-21.600000000000005,LOWER
4084,National,standard,FAIR,116.84708835341364,286.2686553911046,0.36716866,42.90258943194366,175.27063253012054,50.000000000000064,0.2937349319458007,51.483107318332394,20.000000000000004,RAISE
4527,National,standard,EXCEPTIONAL_VALUE,324.84169811320754,245.05537802962914,0.36451033,118.40815379010618,367.0711188679246,13.000000000000039,0.3455557905435562,126.84355066611337,7.124000000000021,RAISE
4950,National,standard,FAIR,375.96864108382937,338.68524618497764,0.20755546,78.03434347485742,409.8058187813741,9.000000000000036,0.20008346146345135,81.99536674964119,5.076000000000009,RAISE
5493,National,standard,EXCEPTIONAL_VALUE,311.6666666666667,276.02809929537915,1.0,311.6666666666667,411.4000000000002,32.00000000000006,0.8719999999999998,358.7408000000001,15.104000000000022,RAISE
5661,National,standard,UNDERPRICING,349.77860805860803,382.96081285544983,0.5531135,193.46727717486056,524.6679120879123,50.000000000000064,0.44249081611633284,232.1607326098327,20.00000000000002,RAISE
5671,National,standard,FAIR,175.77054054054054,236.00065330207434,0.32335907,56.83699891075894,263.6558108108109,50.000000000000064,0.2586872577667235,68.20439869291073,19.999999999999996,RAISE
5681,National,standard,EXCEPTIONAL_VALUE,586.0641666666667,252.6041380209349,0.6666667,390.70945608849325,410.24491666666665,-30.0,0.7466666889190674,306.3162135733787,-21.6,LOWER
5699,National,standard,UNDERPRICING,75.0,262.5914769170083,1.0,75.0,52.5,-30.0,0.95,49.875,-33.5,LOWER
5703,National,standard,EXCEPTIONAL_VALUE,290.0,238.27215615914042,1.0,290.0,356.7000000000001,23.00000000000005,0.9079999999999998,323.8836,11.684,RAISE
5708,National,standard,FAIR,93.51345437616386,299.30279283390394,0.35540038,33.234717545121406,65.4594180633147,-30.0,0.39804842948913577,26.056018555375182,-21.6,LOWER
5719,National,standard,UNDERPRICING,88.0,216.77390127553554,1.0,88.0,132.00000000000006,50.000000000000064,0.7999999999999997,105.60000000000001,20.00000000000001,RAISE
