hotel_id,current_price,current_occupancy,current_revpar,peer_avg_price,peer_avg_occupancy,peer_avg_revpar,price_premium_pct,occupancy_penalty_pct,revpar_loss_pct,price_percentile,occupancy_percentile,n_peer_comparisons,optimal_price,optimal_occupancy,optimal_revpar,revenue_opportunity,price_reduction_pct
14340,71.34241541353383,0.1920698881149292,13.661670390887087,39.72072693383039,0.27002688497304916,10.72365066610617,79.61004473151031,-28.870087089995017,27.39757025158422,100.0,0.0,2,71.34241541353383,0.1920698881149292,13.702729746326243,0.041059355439156064,0.0
14347,103.19092970521541,0.28518518805503845,29.42852469355611,70.286375,0.29629629850387573,20.82559274775535,46.8149832812055,-3.7499997485429066,41.30942177733697,100.0,0.0,1,103.19092970521541,0.28518518805503845,29.42852469355611,0.0,0.0
24600,73.67064814814816,0.6000000238418579,44.20239064533402,47.79245614035087,0.7124999761581421,34.05212386053905,54.14702255896092,-15.789467520110398,29.808028498796528,100.0,0.0,1,73.67064814814816,0.6000000238418579,44.20239064533402,0.0,0.0
20507,168.29999999999998,0.13333334028720856,22.440001170337197,63.77,0.20000000298023224,12.75400019004941,163.9172024462913,-33.3333308498065,75.94480818531541,100.0,0.0,1,168.29999999999998,0.13333334028720856,22.440001170337197,0.0,0.0
12324,132.78208333333333,0.484274186193943,64.3010861975141,73.34950992740532,0.6474462300539017,49.549491055270074,81.02654464187827,-25.20240852222958,29.771436251059217,100.0,25.0,4,132.78208333333333,0.484274186193943,64.30293534738632,0.001849149872228395,0.0
8231,122.51151515151516,0.21290323138237,26.08309745730776,78.50264705882353,0.21935483813285828,17.219935438589136,56.060361964246816,-2.941173673397935,51.47035568354488,100.0,0.0,1,122.51151515151516,0.21290323138237,26.08309745730776,0.0,0.0
10281,107.6605882352941,0.28333333134651184,30.503833119430958,46.193478260869576,0.38333332538604736,17.707499632887224,133.0644763905844,-26.086955507671426,72.26505013038523,100.0,0.0,1,107.6605882352941,0.28333333134651184,30.503833119430958,0.0,0.0
24629,122.63517241379309,0.08055555820465088,9.878944769316705,58.65181818181818,0.09777777642011642,5.734844364815137,109.09014624854288,-17.61363251038537,72.26177627289722,100.0,0.0,1,122.63517241379309,0.08055555820465088,9.878944769316705,0.0,0.0
10302,120.31795783926219,0.17213262245059013,19.732808860314716,67.05897286165651,0.23658474534749985,15.552566692783444,79.42111652601602,-27.24272133532587,26.878149762064346,100.0,50.0,2,120.31795783926219,0.17213262245059013,20.710645610771742,0.9778367504570262,0.0
18495,152.48738095238096,0.11290322244167328,17.570782886488097,95.5859090909091,0.126728106290102,12.139792212403634,59.52914232091935,-10.909090534960916,44.737097464777335,100.0,50.0,2,152.48738095238096,0.11290322244167328,17.570782886488097,0.0,0.0
10303,79.76457142857143,0.24137930572032928,19.253516872508186,60.358157894736834,0.2620689570903778,15.817999491370037,32.15209709958165,-7.894735645059034,21.719038384167952,100.0,0.0,1,79.76457142857143,0.24137930572032928,19.253516872508186,0.0,0.0
24641,91.93271186440677,0.19032257795333862,17.496870720275375,50.8075,0.2084367275238037,10.590149033665657,80.94319119107764,-8.690478777736727,65.21836156085743,100.0,0.0,1,91.93271186440677,0.19032257795333862,17.496870720275375,0.0,0.0
16446,147.52097826086955,0.17078853771090508,25.391210763166942,65.08960317460317,0.24873271584510803,16.180759530434056,126.64292155099461,-31.336520356550405,56.922242836679814,100.0,50.0,2,147.52097826086955,0.17078853771090508,25.391210763166942,0.0,0.0
12357,496.70769230769235,0.4000000059604645,199.69231059276143,171.00505514705884,0.550000011920929,93.97540687423498,190.46374791700734,-27.27272776532763,112.49422294069431,100.0,0.0,2,496.70769230769235,0.4000000059604645,199.69231059276143,0.0,0.0
10315,102.7817857142857,0.31111112236976624,31.97655671274023,80.71000000000001,0.3222222328186035,26.006556410789493,27.34702727578453,-3.4482755431380587,22.955750879320295,100.0,0.0,1,102.7817857142857,0.31111112236976624,31.97655671274023,0.0,0.0
20556,110.67818471337581,0.18087556958198547,20.018979700332046,64.02735645652683,0.2530241906642914,16.200470047786794,72.86077520399247,-28.51451511133637,23.570363336876838,100.0,0.0,1,110.67818471337581,0.18087556958198547,20.018979700332046,0.0,0.0
8271,109.29179187390623,0.25782258063554764,28.121597524039927,63.88165929598857,0.29109446704387665,18.545770495392453,71.08477312324474,-11.429927454895232,51.63348177432968,100.0,0.0,4,109.29179187390623,0.25782258063554764,28.17789182321368,0.056294299173753615,0.0
22615,182.48295454545453,0.5161290168762207,94.18474792621352,90.98933186195825,0.57419353723526,52.245486312490755,100.55423071168728,-10.112360483648036,80.2734639369143,100.0,0.0,1,182.48295454545453,0.5161290168762207,94.18474792621352,0.0,0.0
12398,135.56127645502647,0.17780338320881128,19.200285682891295,71.39930704898447,0.23303571715950966,15.818651633076591,89.86357439298789,-23.701231134836135,21.377511359715083,100.0,50.0,2,135.56127645502647,0.17780338320881128,24.103253585808677,4.902967902917382,0.0
22643,111.86557915057915,0.43582599610090256,45.5288466752194,76.72782338017174,0.4518817327916622,37.95264031190789,45.79532459340926,-3.5530838105735234,19.962264287932612,100.0,50.0,2,111.86557915057915,0.43582599610090256,48.75392746270551,3.225080787486114,0.0
8309,111.25181643625197,0.5,55.625908218125986,67.52195718654433,0.5274193286895752,35.612385331133446,64.76390950708706,-5.198772058221907,56.1982094175986,100.0,0.0,1,111.25181643625197,0.5,55.625908218125986,0.0,0.0
