model,r2_train,r2_test,rmse_test,mae_test,cv_mean,cv_std
Ridge,0.4673219021562407,0.4137733513583407,0.49185258631305234,0.3585442140891528,0.46540558156232825,0.013322644214389489
RandomForest,0.7155733275880325,0.6931838000976647,0.35582898710096506,0.2649071153099359,0.6711239834190849,0.014619064735554419
XGBoost,0.8390410306266164,0.7826775754081431,0.2994707787059579,0.21891100068722402,0.7664303418154217,0.009223348116444829
LightGBM,0.7909849530657113,0.759045816100767,0.31533299587738833,0.2329817377231302,0.7415512467143499,0.014006601607135813
CatBoost,0.7048322865652925,0.6934130898545368,0.3556960032644995,0.2673637756151292,0.6734757896793399,0.012530585649666602
