hotel_id,segment,actual_price,actual_occupancy,actual_revpar,peer_median_price,peer_p25,peer_p75,peer_occ_median,price_ratio,pricing_status,price_gap_pct,optimal_price,optimal_occupancy,optimal_revpar,revpar_lift,revpar_lift_pct,price_change,price_change_pct,recommendation
1067,coastal_town,120.0,0.71428573,85.71428775787354,213.535,157.26870535714284,221.76354166666667,0.35714287,0.5619687639028731,underpriced,-43.80312360971269,214.74536637931035,0.49434112463781965,106.15746592670891,20.443178326708917,23.850374189785505,94.74536637931035,78.95447198275863,RAISE
1384,urban_fringe,41.13,0.2857143,11.751429096758368,67.07857142857142,54.22840909090909,74.3076923076923,0.03809524,0.6131615376424236,underpriced,-38.68384623575763,73.16363395225464,0.1989294167654116,14.55439903056008,2.80296987156008,23.852161585073127,32.03363395225464,77.88386567530911,RAISE
1404,rural,165.0,0.5714286,94.28571850061417,125.0,106.3125,163.80708333333334,0.35714287,1.32,overpriced,32.0,165.0,0.5714286,94.28571899999999,0.0,0.0,0.0,0.0,HOLD
1747,urban_fringe,240.0,0.05357143,12.857142984867096,130.0,99.14259868421053,144.95357142857142,0.16326532,1.8461538461538465,overpriced,84.61538461538461,240.0,0.05357143,12.857143200000001,0.0,0.0,0.0,0.0,HOLD
1833,major_metro,223.41333333333333,0.14285715,31.916191902955372,109.2106875,96.255,156.9375,0.47619048,2.045709430529254,overpriced,104.57094305292544,223.41333333333333,0.14285715,31.916192071999998,0.0,0.0,0.0,0.0,HOLD
2016,rural,54.0,0.08571429,4.628571555018425,94.90047619047618,68.45785714285714,121.48583333333332,0.18928573,0.5690171658529487,underpriced,-43.09828341470512,121.48583333333332,0.05,6.074291666666666,1.445720006666667,31.234689940323122,67.48583333333332,124.97376543209873,RAISE
2130,small_town,271.21999999999997,0.85714287,232.47428802371024,161.66666666666669,113.9925,176.90625,0.6428572,1.677649484536082,overpriced,67.76494845360821,271.21999999999997,0.85714287,232.47428920139998,0.0,0.0,0.0,0.0,HOLD
2254,small_town,190.42857142857144,0.16666667,31.73809618396418,112.9,106.375,141.02499999999998,0.12244898,1.686701252688852,overpriced,68.67012526888522,190.42857142857144,0.16666667,31.738095872857144,0.0,0.0,0.0,0.0,HOLD
2385,urban_fringe,187.70529914529916,0.091836736,17.238241929488307,117.87538461538462,81.04964749536178,168.17440217391305,0.052983247,1.5924045529756907,overpriced,59.240455297569085,187.70529914529916,0.091836736,17.238242003407866,0.0,0.0,0.0,0.0,HOLD
2950,urban_fringe,108.67272727272729,0.35714287,38.81168923703107,102.18125,96.69166666666666,118.48134523809524,0.14285715,1.0635290454239623,fair,6.3529045423962485,119.54000000000002,0.34321429807,41.0278371912878,2.216147482378709,5.709999999999999,10.867272727272734,10.000000000000005,RAISE
3422,urban_core,81.46249999999998,0.34285715,27.93000076301395,90.0909090909091,68.34450000000001,116.81122448979592,0.20238096,0.9042255297679108,fair,-9.577447023208908,89.60874999999999,0.32948572114999997,29.524803615100055,1.5948030332250624,5.710000000000001,8.146250000000009,10.000000000000014,RAISE
3444,major_metro,260.0,0.5714286,148.571435213089,197.13107142857143,178.48555555555555,216.74914285714289,0.53571427,1.3189194281542194,overpriced,31.891942815421935,260.0,0.5714286,148.57143599999998,0.0,0.0,0.0,0.0,HOLD
3532,small_town,108.0,0.16071428,17.357142627239227,110.91666666666666,93.44125,145.10714285714286,0.1607143,0.9737039819684448,fair,-2.6296018031555137,118.80000000000001,0.15444642307999998,18.348235061904,0.9910928219040009,5.710000000000006,10.800000000000011,10.00000000000001,RAISE
3608,urban_fringe,108.5,0.22857143,24.8000001385808,115.9,84.12738095238095,177.5,0.10714286,0.9361518550474548,fair,-6.384814495254535,119.35000000000001,0.21965714423,26.2160801638505,1.4160800088505,5.71,10.850000000000009,10.000000000000007,RAISE
3790,major_metro,139.0,0.21428572,29.785714581608772,122.51166666666668,107.49071428571428,141.640625,0.42857143,1.134585821758472,fair,13.458582175847194,152.9,0.207600005536,31.7420408464544,1.9563257664543983,6.567999999999993,13.900000000000006,10.000000000000005,RAISE
4019,urban_fringe,204.354907120743,0.6031746,123.26169484286945,70.69874999999999,57.0,156.75,0.10357143,2.8905024080445982,overpriced,189.05024080445983,204.354907120743,0.6031746,123.26168936059132,0.0,0.0,0.0,0.0,HOLD
4084,rural,65.0,0.114285715,7.428571470081806,106.35,95.75,125.165,0.14285715,0.611189468735308,underpriced,-38.8810531264692,116.86637931034483,0.07872019753633619,9.199744464666738,1.7711729896667379,23.8427131734199,51.866379310344826,79.79442970822281,RAISE
4527,urban_fringe,232.14,0.08163265,18.950203693360088,88.4015,78.8415,112.50048701298702,0.106575966,2.625973541172944,overpriced,162.59735411729437,232.14,0.08163265,18.950203371,0.0,0.0,0.0,0.0,HOLD
4950,urban_core,67.76377551020408,0.13333334,9.035170539248051,80.95838235294119,76.092,96.46657181462328,0.088435374,0.8370198803477236,underpriced,-16.298011965227648,96.46657181462328,0.11130762683364438,10.737465177463045,1.7022946576773315,18.840758499793147,28.702796304419195,42.3571385866731,RAISE
5493,rural,160.0,0.71428573,114.28571701049805,106.6725,100.05,179.43833333333333,0.35714287,1.4999179732358388,fair,49.99179732358387,176.0,0.6864285865299999,120.81143122927999,6.525714429280001,5.710000000000001,16.0,10.0,RAISE
