hotel_id,segment,actual_price,actual_occupancy,actual_revpar,peer_median_price,peer_p25,peer_p75,peer_occ_median,price_ratio,pricing_status,price_gap_pct
1067,coastal_town,120.0,0.71428573,85.71428775787354,213.535,157.26870535714284,221.76354166666667,0.35714287,0.5619687639028731,underpriced,-43.80312360971269
1384,urban_fringe,41.13,0.2857143,11.751429096758367,67.07857142857142,54.22840909090909,74.3076923076923,0.03809524,0.6131615376424236,underpriced,-38.68384623575763
1404,rural,165.0,0.5714286,94.28571850061417,125.0,106.3125,163.80708333333334,0.35714287,1.32,overpriced,32.0
1747,urban_fringe,240.0,0.05357143,12.857142984867096,130.0,99.14259868421053,144.95357142857142,0.16326532,1.8461538461538463,overpriced,84.61538461538461
1833,major_metro,223.41333333333333,0.14285715,31.916191902955372,109.21068749999999,96.255,156.9375,0.47619048,2.045709430529254,overpriced,104.57094305292543
2016,rural,54.0,0.08571429,4.628571555018425,94.90047619047618,68.45785714285714,121.48583333333333,0.18928573,0.5690171658529487,underpriced,-43.09828341470512
2130,small_town,271.21999999999997,0.85714287,232.47428802371022,161.66666666666669,113.9925,176.90625,0.6428572,1.677649484536082,overpriced,67.76494845360821
2254,small_town,190.42857142857142,0.16666667,31.73809618396418,112.9,106.375,141.02499999999998,0.12244898,1.686701252688852,overpriced,68.67012526888522
2385,urban_fringe,187.70529914529916,0.091836736,17.238241929488307,117.87538461538462,81.04964749536178,168.17440217391305,0.052983247,1.5924045529756907,overpriced,59.240455297569085
2950,urban_fringe,108.67272727272727,0.35714287,38.81168923703107,102.18125,96.69166666666666,118.48134523809524,0.14285715,1.0635290454239625,fair,6.3529045423962485
3422,urban_core,81.46249999999998,0.34285715,27.93000076301395,90.0909090909091,68.34450000000001,116.81122448979592,0.20238096,0.9042255297679109,fair,-9.577447023208908
3444,major_metro,260.0,0.5714286,148.571435213089,197.13107142857143,178.48555555555555,216.74914285714289,0.53571427,1.3189194281542194,overpriced,31.891942815421935
3532,small_town,108.0,0.16071428,17.357142627239227,110.91666666666666,93.44125,145.10714285714286,0.1607143,0.9737039819684449,fair,-2.6296018031555137
3608,urban_fringe,108.5,0.22857143,24.8000001385808,115.9,84.12738095238095,177.5,0.10714286,0.9361518550474547,fair,-6.384814495254535
3790,major_metro,139.0,0.21428572,29.785714581608772,122.51166666666667,107.49071428571429,141.640625,0.42857143,1.134585821758472,fair,13.458582175847194
4019,urban_fringe,204.354907120743,0.6031746,123.26169484286945,70.69874999999999,57.0,156.75,0.10357143,2.8905024080445982,overpriced,189.05024080445983
4084,rural,65.0,0.114285715,7.428571470081806,106.35,95.75,125.16499999999999,0.14285715,0.611189468735308,underpriced,-38.8810531264692
4527,urban_fringe,232.14,0.08163265,18.950203693360088,88.4015,78.8415,112.50048701298702,0.106575966,2.625973541172944,overpriced,162.59735411729437
4950,urban_core,67.76377551020408,0.13333334,9.035170539248051,80.95838235294119,76.092,96.46657181462328,0.088435374,0.8370198803477236,underpriced,-16.298011965227648
5493,rural,160.0,0.71428573,114.28571701049805,106.6725,100.05,179.43833333333333,0.35714287,1.4999179732358388,fair,49.99179732358387
5661,major_metro,91.85000000000001,0.1904762,17.4952384211123,105.63170454545454,75.0330303030303,115.96303571428571,0.3452381,0.8695306053730857,fair,-13.046939462691434
5671,resort_coastal,130.5,0.12244898,15.979591995477676,125.76530612244898,109.3275,145.70052083333334,0.13137755,1.0376470588235294,fair,3.7647058823529442
5708,rural,65.0,0.22857143,14.857142940163612,68.49571428571429,54.25,87.23253246753245,0.33571428,0.9489644816151167,fair,-5.103551838488331
5789,resort_coastal,127.86285714285714,0.5,63.93142857142857,80.87454545454545,67.96000000000001,113.15625,0.46428573,1.581002482600918,overpriced,58.10024826009178
5799,urban_core,93.852,0.35714287,33.51857222771645,97.5,70.87905882352942,128.325,0.21904762,0.9625846153846154,fair,-3.7415384615384575
5809,resort_coastal,49.86000000000001,0.032967035,1.6437363515049221,71.62333333333333,48.584937770562775,143.4325,0.08571429,0.696141853213571,fair,-30.38581467864289
5825,resort_coastal,45.9,0.114285715,5.245714315026999,72.05,63.81499999999999,100.88125,0.25714287,0.63705759888966,underpriced,-36.29424011103401
5833,resort_coastal,160.0,1.0,160.0,160.495,100.45857142857143,226.47188775510205,0.92857146,0.996915791769214,fair,-0.3084208230786034
5834,small_town,105.3076923076923,0.26530612,27.93877474161295,80.9625,72.7375,102.014,0.14285713,1.3006971413641166,overpriced,30.069714136411672
5848,rural,68.57142857142857,0.125,8.571428571428571,72.96875,65.855,92.69142857142856,0.15773809,0.9397369226063016,fair,-6.026307739369841
5852,major_metro,53.019999999999996,0.10204082,5.410204267054795,115.85575,83.38132560296845,172.26666666666668,0.14285715,0.45763805421828435,underpriced,-54.23619457817157
5911,urban_core,75.86500000000001,0.14285715,10.837857627347113,103.91666666666667,52.994166666666665,150.06224999999998,0.21428572,0.7300561347233361,fair,-26.994386527666393
5912,provincial_city,167.71666666666667,0.14285715,23.95952488059799,121.22666666666666,105.10874999999999,128.72375,0.42857143,1.3834964804223495,overpriced,38.34964804223494
5928,urban_core,179.29880952380955,0.6,107.57928998910248,102.43,82.10625,129.90729651162792,0.08163265,1.750452108989647,overpriced,75.0452108989647
5944,urban_fringe,150.0,0.85714287,128.57142984867096,105.375,84.991875,147.69449999999998,0.39285713,1.4234875444839858,overpriced,42.34875444839858
5956,urban_fringe,61.05833333333334,0.10714286,6.541964350702862,68.19999999999999,56.71116666666667,78.4090909090909,0.06746032,0.8952834799608995,fair,-10.471652003910048
