hotel_id,segment,actual_price,actual_occupancy,actual_revpar,peer_revpar_median,peer_revpar_p25,peer_revpar_p75,peer_price_median,best_peer_price,best_peer_revpar,performance,revpar_gap_pct
1067,coastal_town,120.0,0.71428573,85.71428775787354,77.25325561416854,37.89785883702338,92.94005366525478,213.535,264.64375,226.8375022534281,on_par,10.952330845398329
1384,urban_fringe,41.13,0.2857143,11.751429096758367,2.0261083624558522,1.567288144491613,3.138531558016049,67.07857142857142,75.57692307692308,24.40993721668537,outperforming,480.00002934267656
1404,rural,165.0,0.5714286,94.28571850061417,45.820714530519076,33.26785863004625,60.138155472613875,125.0,202.29999999999998,86.70000086128711,outperforming,105.77094763071575
1747,urban_fringe,240.0,0.05357143,12.857142984867096,22.05306179523468,12.367545460846408,53.28903157610239,130.0,220.44,62.98285995841026,on_par,-41.699057009646964
1833,major_metro,223.41333333333333,0.14285715,31.916191902955372,46.2522392512763,36.67571446172893,65.52071700453757,109.21068749999999,177.375,152.0357157960534,underperforming,-30.99535845267283
2016,rural,54.0,0.08571429,4.628571555018425,13.857143018394709,11.285714438805977,20.706994456350806,94.90047619047618,93.40095238095236,40.02897998948891,underperforming,-66.59793762051663
2130,small_town,271.21999999999997,0.85714287,232.47428802371022,75.35714416205883,62.67428851604461,146.75000145783028,161.66666666666669,200.0,171.42857313156128,outperforming,208.4966801870359
2254,small_town,190.42857142857142,0.16666667,31.73809618396418,15.802041003853082,13.6673472488299,17.16071429848671,112.9,161.06122448979593,32.21224537795904,outperforming,100.84808143596982
2385,urban_fringe,187.70529914529916,0.091836736,17.238241929488307,4.218904356840067,3.5296472001514543,13.897237534788642,117.87538461538462,101.71858998144712,18.16403435832273,outperforming,308.595229269422
2950,urban_fringe,108.67272727272727,0.35714287,38.81168923703107,16.157143579423426,6.000829076448766,28.89918991583187,102.18125,245.0,87.50000208616257,outperforming,140.21380416807608
3422,urban_core,81.46249999999998,0.34285715,27.93000076301395,19.90303634697571,11.819285684215751,21.142857999851305,90.0909090909091,112.24489795918369,37.41496710144744,outperforming,40.330350988169435
3444,major_metro,260.0,0.5714286,148.571435213089,98.00665986582638,76.49381028370725,158.5680026584268,197.13107142857143,261.35999999999996,224.02285936832425,on_par,51.59320337667571
3532,small_town,108.0,0.16071428,17.357142627239227,17.55044701986015,13.992347164079547,27.349774526166062,110.91666666666666,152.7058823529412,52.979593880036305,on_par,-1.1014214760580157
3608,urban_fringe,108.5,0.22857143,24.8000001385808,14.592857590317726,10.561224594712257,22.25000009579318,115.9,66.40947368421052,30.042381140872052,outperforming,69.94615334994738
3790,major_metro,139.0,0.21428572,29.785714581608772,78.25000213086605,41.69763661754629,89.05454241346568,122.51166666666667,125.11666666666667,107.24285820821922,underperforming,-61.93519006965027
4019,urban_fringe,204.354907120743,0.6031746,123.26169484286945,10.089910542547702,6.607857331624254,12.289286149665713,70.69874999999999,230.0,20.535714775323868,outperforming,1121.6331782436782
4084,rural,65.0,0.114285715,7.428571470081806,15.192857822030783,11.542857330292463,28.266429658085112,106.35,125.83333333333333,53.92857196430365,underperforming,-51.10484441373616
4527,urban_fringe,232.14,0.08163265,18.950203693360088,12.400000162888318,8.42785738825053,14.999518147210589,88.4015,117.60064935064936,23.52013022060712,outperforming,52.824221326026475
4950,urban_core,67.76377551020407,0.13333334,9.03517053924805,7.793587417851258,3.8499286650926803,12.561512587859502,80.95838235294119,60.45454545454549,43.18181921135298,on_par,15.930829473381387
5493,rural,160.0,0.71428573,114.28571701049805,42.750000424683094,22.993571925610304,50.779286218732594,106.6725,264.28571428571433,264.28571428571433,outperforming,167.33500789513792
5661,major_metro,91.85000000000001,0.1904762,17.4952384211123,37.41027904290141,22.25324723124504,53.609525972825786,105.63170454545454,115.85214285714285,77.23476420653718,underperforming,-53.23414080646367
5671,resort_coastal,130.5,0.12244898,15.979591995477676,15.48807373009622,9.680357503071427,24.734694389803778,125.76530612244898,148.15625,96.75510005839169,on_par,3.173527411781006
5708,rural,65.0,0.22857143,14.857142940163612,16.92367988724871,12.285714448740084,35.42173518230969,68.49571428571429,99.22714285714288,99.22714285714288,on_par,-12.210919615905446
5789,resort_coastal,127.86285714285714,0.5,63.93142857142857,33.26142912536859,29.21938351276246,58.05714334696532,80.87454545454545,131.25,112.50000111758709,outperforming,92.20890458572592
5799,urban_core,93.852,0.35714287,33.51857222771645,17.796890783737688,12.482142942026258,21.07142884284258,97.5,148.32857142857142,49.44285861636911,outperforming,88.33948376165124
5809,resort_coastal,49.86000000000001,0.032967035,1.6437363515049221,4.664428554631092,3.6247143304161726,14.252789770385444,71.62333333333333,199.0,17.057143323123455,underperforming,-64.76017732390963
5825,resort_coastal,45.9,0.114285715,5.245714315026999,18.468571922928092,11.673214518390594,63.22589348523567,72.05,194.4,92.57142884731293,underperforming,-71.5965352550371
5833,resort_coastal,160.0,1.0,160.0,92.08367459195001,63.00841849161578,196.61428726613522,160.495,230.6291836734694,230.6291836734694,on_par,73.75501217670482
5834,small_town,105.3076923076923,0.26530612,27.93877474161295,10.867346874438226,7.025372231068711,28.76403089798987,80.9625,167.55555555555554,53.85714214377933,on_par,157.08919632748183
5848,rural,68.57142857142857,0.125,8.571428571428571,11.160178653384959,7.88204093053937,14.437500123633072,72.96875,93.40095238095236,40.02897998948891,on_par,-23.196313987063295
5852,major_metro,53.019999999999996,0.10204082,5.410204267054795,18.238360541570763,13.29612283669412,28.27450777176395,115.85575,179.0,42.61904774606228,underperforming,-70.33612612974014
