original_city,canonical_city,changed
Getaria,Getaria,False
Guernica,Guernica,False
Valle,Valle,False
León,León,False
L'Alcúdia,L'Alcúdia,False
La Guardia,La Guardia,False
Cortes de la Frontera ,Jerez de la Frontera,True
"Taranilla, León,","Taranilla, León,",False
Las Negras,Las Negras,False
"Ochagavía, Navarra","Ochagavía, Navarra",False
Bergara,Bergara,False
"Padul, Granada",Granada,True
Valldemossa,Valldemossa,False
 Matalascañas (Almonte),Matalascañas,True
Santo Domingo de la Cazada,Santo Domingo de la Calzada,True
Arguineguin,Arguineguin,False
Sitges,Sitges,False
Setenil de las Bodegas,Setenil de las Bodegas,False
 Freixinet, Freixinet,False
"Mijas, Málaga",Málaga,True
"L'Escala, Girona",Girona,True
Cangas de Onis ,Cangas de Onis ,False
Bizkaia,"Getxo, Bizkaia",True
"O Pino, A Coruña",A Coruña,True
Costa Teguise,Costa Teguise,False
Pollença,Pollença,False
Playa Honda,Playa Honda,False
POLOP DE LA MARINA,POLOP DE LA MARINA,False
Guadalupe (Cáceres),Guadalupe (Cáceres),False
Santa Cruz de Tenerife,Santa cruz de Tenerife,True
Cañaveral,Cañaveral,False
SAN PEDRO ALCANTARA,San pedro de alcantara,True
"Rupit, Barcelona",Barcelona,True
"Las Cabezas de San Juan, Sevilla",Sevilla,True
Denia,Denia,False
Redondela,Redondela ,True
Ariany,Ariany,False
Portonovo,Portonovo,False
"Garray, Soria","Garray, Soria",False
PAMPLONA,Pamplona,True
Güejar Sierra,Güejar Sierra,False
Terrassa,Terrassa,False
Urdaniz,Urdaniz,False
Ponferrada,Ponferrada,False
Sineu,Sineu,False
"O Pedrouzo, A Coruña",A Coruña,True
"Llafranc, Girona",Girona,True
"Sant Feliu de Guíxols, Girona,","Sant Feliu de Guíxols, Girona,",False
Artà,Artà,False
Lugo ,Lugo ,False
"Usurbil, Gipuzkoa","Usurbil, Gipuzkoa",False
Vejer de la frontera,Vejer de la frontera,False
Mondoñedo,Mondoñedo,False
"Mourisca, Province of Ourense","Mourisca, Province of Ourense",False
Peñíscola,Peñíscola,False
Calpe,Calpe,False
"Medina-Sidonia, Cadiz",Cadiz,True
Mérida,Mérida,False
Aspe,Aspe,False
Aia,Aia,False
Córdoba,Córdoba,False
Finestrat,Finestrat,False
Las Palmas de Gran Canarias,Las Palmas de Gran Canaria,True
La Puebla de los Infantes,La Puebla de los Infantes,False
Cadiz,Cádiz,True
Granada,Granada,False
Benalmádena,Benalmádena,False
L'estartit,L'estartit,False
Covas - Ames,Covas - Ames,False
Villaverde,Villaverde,False
Banyeres del Penedès,Banyeres del Penedès,False
GAUTEGIZ-ARTEAGA   VIZCAYA,GAUTEGIZ-ARTEAGA   VIZCAYA,False
"Rota, Cádiz",Cádiz,True
San Sebastián-Donostia,San Sebastián-Donostia,False
Palma de Mallorca ,Palma de Mallorca ,False
Costitx,Costitx,False
Punta Prima,Punta Prima,False
"Vélez Blanco, Almeria","Vélez Blanco, Almeria",False
"Tejina, Santa Cruz de Tenerife",Santa cruz de Tenerife,True
"El Algar, Cartagena","El Algar, Cartagena",False
Els Masos de Pals,Els Masos de Pals,False
Épila,Épila,False
Alcaucin ,Alcaucin ,False
Novelda,Novelda,False
El Provencio,El Provencio,False
"Porqueres, Girona,","Porqueres, Girona,",False
Peñiscola,Peñiscola,False
SAN ROMAN - SANTANDER,Santander,True
Cambrils,Cambrils,False
Figueres,Figueres,False
Oasis del Sur,Oasis del Sur,False
Dehesa de Campoamor,Dehesa de Campoamor,False
Valderrobres,Valderrobres,False
Talavera de la Reina,Talavera de la Reina,False
"Baiona, Pontevedra",Pontevedra,True
"Arsèguel, Lleida","Arsèguel, Lleida",False
"Redondela, Pontevedra",Pontevedra,True
Toledo ,Toledo,True
Pinto,Pinto,False
Arzúa,Arzúa,False
"Girona,",Girona,True
Almagro,Almagro,False
Cervera,Cervera,False
El Pont de Suert,El Pont de Suert,False
"Rascafría, Madrid",Madrid,True
"Vilanova de la Muga, Girona",Girona,True
"Canet de Mar, Barcelona",Barcelona,True
Miño,Miño,False
Arguis,Arguis,False
Santa Eulalia del Río (Ibiza),Santa Eulalia del Río (Ibiza),False
"Güímar, Santa Cruz de Tenerife",Santa cruz de Tenerife,True
