hotel_id,segment,actual_price,actual_occupancy,actual_revpar,peer_median_price,peer_p25,peer_p75,peer_occ_median,price_ratio,pricing_status,price_gap_pct,optimal_price,optimal_revpar,revpar_lift,revpar_lift_pct,price_change_pct
1067,coastal_town,120.0,0.71428573,85.71428775787354,213.535,157.26870535714284,221.76354166666667,0.35714287,0.5619687639028731,underpriced,-43.80312360971269,214.84235714285714,106.15703916031177,20.442751560311777,23.849876295666466,79.03529761904761
1384,urban_fringe,41.13,0.2857143,11.751429096758368,67.07857142857142,54.22840909090909,74.3076923076923,0.03809524,0.6131615376424236,underpriced,-38.68384623575763,73.23884839650145,14.554437554424863,2.803008395424863,23.852489407878856,78.06673570751629
1404,rural,165.0,0.5714286,94.28571850061417,125.0,106.3125,163.80708333333334,0.35714287,1.32,overpriced,32.0,165.0,94.28571899999999,0.0,0.0,0.0
1747,urban_fringe,240.0,0.05357143,12.857142984867096,130.0,99.14259868421053,144.95357142857142,0.16326532,1.8461538461538465,overpriced,84.61538461538461,240.0,12.857143200000001,0.0,0.0,0.0
1833,major_metro,223.41333333333333,0.14285715,31.916191902955372,109.2106875,96.255,156.9375,0.47619048,2.045709430529254,overpriced,104.57094305292544,223.41333333333333,31.916192071999998,0.0,0.0,0.0
2016,rural,54.0,0.08571429,4.628571555018425,94.90047619047618,68.45785714285714,121.48583333333332,0.18928573,0.5690171658529487,underpriced,-43.09828341470512,123.37061904761904,6.168530952380952,1.5399592923809529,33.27072378913872,128.46410934744267
2130,small_town,271.21999999999997,0.85714287,232.47428802371024,161.66666666666669,113.9925,176.90625,0.6428572,1.677649484536082,overpriced,67.76494845360821,271.21999999999997,232.47428920139998,0.0,0.0,0.0
2254,small_town,190.42857142857144,0.16666667,31.73809618396418,112.9,106.375,141.02499999999998,0.12244898,1.686701252688852,overpriced,68.67012526888522,190.42857142857144,31.738095872857144,0.0,0.0,0.0
2385,urban_fringe,187.70529914529916,0.091836736,17.238241929488307,117.87538461538462,81.04964749536178,168.17440217391305,0.052983247,1.5924045529756907,overpriced,59.240455297569085,187.70529914529916,17.238242003407866,0.0,0.0,0.0
2950,urban_fringe,108.67272727272729,0.35714287,38.81168923703107,102.18125,96.69166666666666,118.48134523809524,0.14285715,1.0635290454239623,fair,6.3529045423962485,132.83562500000002,43.32743544000008,4.515745731090988,11.635014514852244,22.234555378952656
3422,urban_core,81.46249999999998,0.34285715,27.93000076301395,90.0909090909091,68.34450000000001,116.81122448979592,0.20238096,0.9042255297679108,fair,-9.577447023208908,117.11818181818182,33.30034753749476,5.370346955619766,19.227879855845117,43.769442158271424
3444,major_metro,260.0,0.5714286,148.571435213089,197.13107142857143,178.48555555555555,216.74914285714289,0.53571427,1.3189194281542194,overpriced,31.891942815421935,260.0,148.57143599999998,0.0,0.0,0.0
3532,small_town,108.0,0.16071428,17.357142627239227,110.91666666666666,93.44125,145.10714285714286,0.1607143,0.9737039819684448,fair,-2.6296018031555137,144.19166666666666,20.145044927952938,2.78790268795294,16.061991365883628,33.5108024691358
3608,urban_fringe,108.5,0.22857143,24.8000001385808,115.9,84.12738095238095,177.5,0.10714286,0.9361518550474548,fair,-6.384814495254535,150.67000000000002,29.218656622906266,4.418656467906267,17.81716306568413,38.86635944700462
3790,major_metro,139.0,0.21428572,29.785714581608772,122.51166666666668,107.49071428571428,141.640625,0.42857143,1.134585821758472,fair,13.458582175847194,159.2651666666667,32.57584958538715,2.790134505387144,9.367357801863267,14.579256594724235
4019,urban_fringe,204.354907120743,0.6031746,123.26169484286945,70.69874999999999,57.0,156.75,0.10357143,2.8905024080445982,overpriced,189.05024080445983,204.354907120743,123.26168936059132,0.0,0.0,0.0
4084,rural,65.0,0.114285715,7.428571470081806,106.35,95.75,125.165,0.14285715,0.611189468735308,underpriced,-38.8810531264692,116.11683673469386,9.200421134256365,1.7718496592563646,23.851822187069484,78.6412872841444
4527,urban_fringe,232.14,0.08163265,18.950203693360088,88.4015,78.8415,112.50048701298702,0.106575966,2.625973541172944,overpriced,162.59735411729437,232.14,18.950203371,0.0,0.0,0.0
4950,urban_core,67.76377551020408,0.13333334,9.035170539248051,80.95838235294119,76.092,96.46657181462328,0.088435374,0.8370198803477236,underpriced,-16.298011965227648,105.24589705882354,11.00562883705733,1.970458317271616,21.80875627036145,55.31291795123677
5493,rural,160.0,0.71428573,114.28571701049805,106.6725,100.05,179.43833333333333,0.35714287,1.4999179732358388,fair,49.99179732358387,160.0,114.28571679999999,0.0,0.0,0.0
5661,major_metro,91.85,0.1904762,17.4952384211123,105.63170454545454,75.0330303030303,115.96303571428572,0.3452381,0.8695306053730857,fair,-13.046939462691434,137.3212159090909,22.116339716096917,4.621100746096918,26.413475997789803,49.50595090810116
5671,resort_coastal,130.5,0.12244898,15.979591995477676,125.76530612244898,109.3275,145.70052083333334,0.13137755,1.0376470588235294,fair,3.764705882352944,163.49489795918367,17.749614946457243,1.7700230564572426,11.076772602465022,25.283446712018144
5708,rural,65.0,0.22857143,14.857142940163612,68.49571428571429,54.25,87.23253246753245,0.33571428,0.9489644816151168,fair,-5.103551838488331,89.04442857142857,17.416753058937505,2.5596101089375054,17.228144856326537,36.991428571428564
5789,resort_coastal,127.86285714285714,0.5,63.93142857142857,80.87454545454545,67.96000000000001,113.15625,0.46428573,1.581002482600918,overpriced,58.10024826009178,127.86285714285714,63.93142857142857,0.0,0.0,0.0
