hotel_id,target_date,segment,performance,recommendation,current_price,recommended_price,current_revpar,expected_revpar,peer_median_price,best_peer_price,best_peer_revpar,elasticity_used,reasoning,confidence,n_peers
24935,2024-06-15,small_town,underperforming,RAISE,122.75333333333333,171.63,28.5,27.96,133.0,171.63,6080.47,-0.749,Hotel is underpriced vs best peer. Raise to €172.,medium,9
26786,2024-06-15,resort_coastal,new_hotel,SET,,248.79,,74.64,248.79,190.09,4616.49,-0.445,New hotel. Start at peer median €249.,low,8
17985,2024-06-15,urban_fringe,underperforming,LOWER,199.28043209876546,171.63,33.21,30.57,109.56,171.63,6080.47,-0.496,Hotel is overpriced vs best peer. Lower to €172.,medium,9
21744,2024-06-15,rural,underperforming,LOWER,167.47912896825395,59.09,12.85,6.29,77.76,59.09,1135.87,-0.597,Hotel is overpriced vs best peer. Lower to €59.,high,9
10138,2024-06-15,coastal_town,underperforming,RAISE,68.7454696969697,92.32,25.89,25.18,95.38,92.32,7992.08,-0.805,Hotel is underpriced vs best peer. Raise to €92.,medium,6
16065,2024-06-15,resort_coastal,underperforming,LOWER,97.76403846153845,68.12,23.64,18.69,83.64,68.12,486.58,-0.445,Hotel is overpriced vs best peer. Lower to €68.,high,8
11735,2024-06-15,rural,underperforming,LOWER,113.30416666666667,92.72,16.19,14.68,176.46,92.72,11046.35,-0.597,Hotel is overpriced vs best peer. Lower to €93.,low,9
23344,2024-06-15,small_town,new_hotel,SET,,79.2,,23.76,79.2,95.56,1360.55,-0.749,New hotel. Start at peer median €79.,low,10
12965,2024-06-15,major_metro,underperforming,LOWER,122.51414529914528,94.39,35.0,31.68,118.25,94.39,809.05,-0.761,Hotel is overpriced vs best peer. Lower to €94.,medium,6
14578,2024-06-15,urban_fringe,new_hotel,SET,,80.54,,24.16,80.54,91.28,2986.11,-0.496,New hotel. Start at peer median €81.,low,8
21868,2024-06-15,urban_fringe,underperforming,RAISE,104.82931216931217,238.72,14.98,12.52,178.11,238.72,3137.5,-0.496,Hotel is underpriced vs best peer. Raise to €239.,low,9
13486,2024-06-15,coastal_town,underperforming,LOWER,130.03819444444446,60.86,6.19,4.26,88.28,60.86,813.6,-0.883,Hotel is overpriced vs best peer. Lower to €61.,medium,7
22508,2024-06-15,major_metro,underperforming,RAISE,78.91605837325068,123.48,97.13,116.8,84.94,123.48,9190.77,-0.41,Hotel is underpriced vs best peer. Raise to €123.,high,8
24444,2024-06-15,small_town,underperforming,LOWER,108.559962635709,70.76,192.75,67.22,90.25,70.76,1506.08,-0.403,Hotel is overpriced vs best peer. Lower to €71.,medium,6
9641,2024-06-15,rural,underperforming,LOWER,482.0,59.5,11.48,2.97,81.0,59.5,1579.48,-0.597,Hotel is overpriced vs best peer. Lower to €59.,low,9
9499,2024-06-15,coastal_town,new_hotel,SET,,135.4,,40.62,135.4,436.78,13914.52,-0.883,New hotel. Start at peer median €135.,low,8
15296,2024-06-15,urban_fringe,underperforming,RAISE,418.3194805194805,784.68,114.09,121.12,467.29,784.68,2802.44,-0.496,Hotel is underpriced vs best peer. Raise to €785.,medium,8
14950,2024-06-15,coastal_town,underperforming,INVESTIGATE,195.38571428571427,195.39,34.89,34.89,123.4,179.53,3847.18,-0.883,Price is similar to best peer but RevPAR is lower. Check quality/marketing.,medium,9
