hotel_id,latitude,longitude,city,country
9815,41.7178188,2.9314468,"Tossa de Mar, Girona",ES
5708,39.7162245,-6.2809173,Talaván,ES
10406,43.35283,-1.7996113,Hondarribia,ES
10440,41.3997776,2.1816282,Barcelona,ES
8525,39.8563279,-4.0245444,Toledo,ES
10471,43.4563202,-3.8131261,Santander,ES
10474,39.551896,3.3163869,Manacor,ES
10545,36.9319589,-4.682263499999999,Valle de Abdalajís,ES
10526,41.7259321,1.8203003,Manresa,ES
11163,37.1400383,-1.8473413,Mojácar,ES
10637,39.3293528,3.1661676,Cala Figuera,ES
10675,38.5366788,-0.1166436,Benidorm,ES
10291,38.4361995,-0.5416702,San Vicente del Raspeig ,ES
10728,40.4100121,-4.7878263,Burgohondo,ES
10600,39.404203,-2.4276678,SAN CLEMENTE ,ES
10876,41.9745252,1.8771341,Puig-reig,ES
12382,36.6908421,-6.1457651,Jerez de la Frontera (Cádiz),ES
6922,41.984162,2.8202828,"Ventolà, Girona",ES
10783,43.4190042,-4.0994485,Santillana del Mar,ES
9951,39.2005823,-1.350678,Alcalá del Júcar,ES
11068,37.1784333,-3.5985338,Granada,ES
11111,36.5210142,-6.2804565,Cádiz,ES
11152,40.4587673,-1.5970716,Noguera de Albarracín,ES
11255,41.7341501,2.8229772,Lloret de Mar,ES
11333,37.6318033,-0.6997803,"Cabo de Palos, Murcia",ES
11123,36.9377887,-3.2945214,"Busquístar, Granada",ES
12637,40.3748405,0.406002,Peñíscola,ES
14945,42.8157125,-5.3061542,Santa Colomba de las Arrimadas,ES
12647,36.7266388,-4.4230721,Malaga,ES
12640,40.3589259,0.4050546,Peñíscola,ES
13906,36.4327871,-5.452074,"Jimena de la Frontera, Cádiz",ES
11527,42.2406997,2.284805,"Sant Joan de les Abadesses, Girona,",ES
11666,37.5442706,-4.7277528,,ES
11743,36.5309831,-6.2942201,Cádiz,ES
11739,41.7784298,-1.7212495,Añón de Moncayo,ES
11777,36.750745,-3.9018138,Nerja,ES
3790,39.4832182,-0.3771414,Valencia,ES
11796,43.6207365,-5.8155147,San Jorge de Heres,ES
14544,36.6836482,-6.1321319,Jerez de la Frontera ,ES
11871,42.59188380000001,-8.3512217,Forcarei,ES
11898,37.3927825,-6.001867499999999,Sevilla,ES
11899,28.0951,-16.59737,Granadilla,ES
11674,42.7352774,-0.3148533,Escarrilla,ES
12442,36.6930541,-4.461263,MALAGA,ES
16138,28.09256,-16.7254565,Adeje,ES
12890,40.4458421,-3.7872766,Madrid,ES
15217,37.1836316,-3.5968254,"Albaicín, Granada, ",ES
14139,43.2748705,-8.3717272,A Coruña,ES
6729,41.7172627,2.9326761,Tossa de Mar,ES
7656,38.6158762,-1.125762,Yecla,ES
12764,41.5700182,1.828881,Collbató,ES
15571,37.8093396,-5.0202142,Almodóvar del Río,ES
13102,42.3148776,-0.4390353,Arguis,ES
13121,42.2557623,-2.6299466,Torrecilla En Cameros,ES
13165,28.1237197,-16.7735489,Playa Paraiso,ES
13284,40.8123438,0.7071008999999999,l'Ampolla,ES
11608,38.5443822,-0.1426844,Benidorm,ES
13349,38.7325959,1.4156941,La Savina,ES
15354,38.8393502,0.1055488,Dénia,ES
15953,36.75026769999999,-3.8764079,Nerja,ES
12906,37.11600660000001,-3.5901629,La Zubia,ES
14695,40.4289832,-3.6644934,Madrid,ES
15408,41.3910294,2.1787801,Barcelona,ES
13538,36.7387478,-5.1665852,RONDA,ES
13513,28.1202994,-16.7294302,Adeje,ES
12342,37.6921724,-0.8423674,EL CARMOLI,ES
13646,39.5399227,3.3330284,"Porto Cristo, Manacor",ES
13193,28.955534,-13.5837009,Playa Honda,ES
13833,41.3490005,-2.8916039,Berlanga de Duero,ES
14039,43.5008634,-5.6617928,Gijón,ES
14176,38.3480666,-0.5052770999999999,Alicante,ES
14191,43.3708607,-2.5755688,Ea,ES
14211,40.4280188,-3.7201272,Madrid,ES
13801,37.5428195,-4.3161884,Zuheros,ES
14306,36.7463316,-3.8756474,Nerja,ES
14499,37.7911124,-2.780448,Castril,ES
14350,39.96372179999999,-4.9171286,"El Casar de Talavera, Toledo",ES
8594,39.0647801,-3.6106611,"Daimiel, Ciudad Real",ES
14435,42.6052027,-5.568249199999999,León,ES
14483,42.5950542,-5.5669581,León,ES
14531,28.0917566,-17.1094387,"San Sebastián de La Gomera, Santa Cruz de Tenerife",ES
7634,40.8749914,0.1548395,Valderrobres,ES
14700,41.885771,2.8385345,Campllong,ES
14783,36.5362249,-6.2994056,Cádiz,ES
14776,42.7399525,-8.6592636,Padrón,ES
15356,43.38134729999999,-2.5840509,Ea,ES
13236,38.5989116,-0.0542067,Altea,ES
11685,36.687086,-6.135277599999999,Jerez de la Frontera,ES
15155,42.5476873,-6.602157900000001,Ponferrada,ES
18232,36.7755759,-6.3539143,Sanlúcar de Barrameda,ES
7097,37.38593830000001,-6.054062,Castilleja de la Cuesta,ES
8828,42.3252736,1.5843023,Ansovell,ES
17985,41.7401991,2.2707525,Tagamanent,ES
16316,28.0459835,-16.5363109,"El Medano, Santa Cruz de Tenerife",ES
14229,28.0466037,-15.5739417,Las palmas,ES
15532,42.65833749999999,-0.5880711,Borau,ES
20614,36.9128813,-2.066294,Fernán Perez,ES
18723,39.6140955,3.1139948,Mallorca,ES
18791,40.4180813,-3.7026859,Madrid,ES
16399,38.9954979,-3.3714594,Manzanares,ES
28293,42.2379269,-8.7164554,Vigo,ES
12555,36.7744754,-4.1002904,Vélez Málaga ,ES
16592,37.8821017,-4.7801015,Córdoba,ES
11115,42.5251592,-8.8163704,Cambados,ES
