model,cv_r2_mean,cv_r2_std,test_r2,test_mape,train_r2,train_mape
Ridge,0.4190798489128869,0.024064267946145215,0.3111552142267435,154.73435746133015,0.42686214860642635,42.44295142759299
RandomForest,0.562278526791057,0.021580479640785497,0.62502458934053,31.54813683584973,0.8450008263080031,19.063455159457497
XGBoost,0.5624471323090957,0.022305173872824494,0.5844097507444818,33.907884083378086,0.6626390470976855,29.681028606977833
LightGBM,0.559609273120201,0.02007171349073738,0.5697645851811322,34.17633737792431,0.6453808099377963,30.41265698548832
CatBoost,0.567967261852943,0.01915838193419144,0.6080950600110611,32.91033736777329,0.6995233927811414,27.989537800120303
Stacking,0.5696383585175141,0.020859530926570443,0.6120123717905417,32.52091326543747,0.7583053755530687,24.488822168472492
