hotel_id,median_price_premium,median_residual_pct,median_revpar,median_peer_revpar,avg_n_peers,n_periods,diagnosis
307,0.772603615264353,3.1585394232380333,73.64743835616439,15.299107188344252,44.0,2,UNDERPRICING
1067,-0.3411353925522037,3.5289327324787343,22.876397260273976,7.201255517458902,128.5,2,UNDERPRICING
1384,-0.33453639585967443,0.002846938211350597,4.426054794520549,6.327449949758549,101.625,8,FAIR
1404,1.309993242972288,28.620205911269906,18.622849315068493,1.1751245330012452,1.0,2,UNDERPRICING
1747,-0.2495569019564292,-0.38415626812780795,6.096081093305763,13.10206384172023,34.9,10,OVERPRICING
1833,2.062920879166086,5.091893385628543,43.27280821917808,13.26499086757991,11.0,1,UNDERPRICING
2016,-0.035165288297366905,1.560803688764138,6.798904109589041,2.7814584980596546,70.75,4,UNDERPRICING
2254,1.3163726879076338,21.810594046219904,9.9005799086758,0.43735058420628525,20.75,4,UNDERPRICING
2385,0.8312519840225155,6.59646264091659,48.62320792563601,5.236145829713046,70.5,2,UNDERPRICING
2950,0.5517832647462277,1.3151850691509952,13.8504200913242,4.848248715753425,65.6,5,UNDERPRICING
3422,-0.208196649862538,0.37440330139194783,14.855202739726028,10.284824215613924,9.25,4,UNDERPRICING
3444,0.48868996191455083,0.5732112092443975,68.11108219178081,31.8540598305486,10.0,2,UNDERPRICING
3532,0.48390492794711026,-0.17247637606807056,2.689027397260274,3.7335242179014068,92.83333333333333,12,OVERPRICING
3608,-0.01949732384864862,4.557897814835434,24.785591780821917,4.485073798141183,52.5,2,UNDERPRICING
3790,0.1503188741453464,8.085237867482407,66.9602397260274,7.162647353509033,128.5,2,UNDERPRICING
4019,0.9415931832331468,14.945358734866305,11.589519025875191,2.2515199557837353,28.666666666666668,6,UNDERPRICING
4084,0.07151724516410768,-0.49600046162867906,3.509041095890411,8.89117213374948,1.5,4,OVERPRICING
4527,1.8895625290679725,2.5103630509204953,3.994230919765166,2.030383488258317,57.666666666666664,3,UNDERPRICING
4950,0.16260823528032536,-0.4999340331292794,3.6471488584474887,6.79007441887958,97.72727272727273,11,OVERPRICING
5493,1.1724444444444444,13.12370271175092,6.695890410958904,0.410958904109589,1.0,1,UNDERPRICING
5661,0.06160057290733722,-0.1412490908429161,7.654602739726028,7.552574716396866,6.4,5,FAIR
5671,0.5397015112867927,1.9036212181394092,6.613424657534246,1.8865473783656117,97.0,1,UNDERPRICING
5703,-0.7238095238095238,-0.22451994091580502,0.7945205479452054,2.8767123287671232,6.0,1,OVERPRICING
5708,-0.3935840150377725,0.16129199072621184,1.7851397260273971,2.0818921454912704,76.83333333333333,6,UNDERPRICING
5719,0.14359974009096813,-0.5893134320392451,0.2410958904109589,0.5446232876712329,19.0,1,OVERPRICING
5789,-0.5004793665252815,1.7667991268355827,14.699287671232877,9.599964351529206,91.5,4,UNDERPRICING
5799,0.2579274318998471,8.921933109652105,21.42878767123288,2.2867257439773265,99.0,2,UNDERPRICING
5802,-0.5142142760719504,-0.8726273130359871,2.1746575342465753,29.14980821917808,1.0,1,OVERPRICING
5809,-0.5850927497702958,-0.32529408303668694,1.4505175566810564,5.769931846162626,82.08333333333333,12,OVERPRICING
5825,-0.5075818716529694,1.7420109114866336,9.692567123287672,6.460877643575871,48.25,4,UNDERPRICING
5833,-0.3310913273808323,7.165124267956259,83.02794520547945,13.462834154123978,33.0,2,UNDERPRICING
5848,-0.3084814058163351,0.10761644676035559,4.757782534246576,4.50684213391828,94.83333333333333,6,FAIR
5852,-0.30684418164100485,-0.32858583681267917,1.4762133072407047,3.661481690969016,117.0,6,OVERPRICING
5911,-0.1345901750668303,-0.37792700437626686,1.8645136986301372,4.060873524698586,120.0,4,OVERPRICING
5912,0.15148612724405056,-0.0924510287975383,12.294188356164383,7.213478819552217,74.16666666666667,6,FAIR
5928,0.5472658080019288,1.9235082335460594,14.945072602739724,2.6996164383561645,88.125,8,UNDERPRICING
5944,-0.5310547062915649,5.961341982978402,63.29864383561643,16.298624781232252,44.0,2,UNDERPRICING
5956,-0.1635525357272533,0.5127331332039841,5.642955479452055,5.478272138296909,118.0,7,UNDERPRICING
5962,-0.4478129956577719,4.075251698468054,51.09293150684931,16.428053704509708,17.0,2,UNDERPRICING
5980,-0.16684469130527663,-0.9261860301266963,0.1780821917808219,2.714552511415525,65.0,1,OVERPRICING
5989,0.02745131823226038,2.4476929733809674,9.412675146771036,2.2849384590802098,35.5,4,UNDERPRICING
6013,-0.2753106838307864,0.5436727429290655,7.8277465753424655,6.350571654173901,46.75,4,UNDERPRICING
6016,0.2587451150704642,4.080266579476919,20.870167808219175,3.63323672956313,80.5,2,UNDERPRICING
6046,0.4497128060979754,1.4114008826744608,14.35705205479452,5.991672092712026,39.5,2,UNDERPRICING
6049,-0.1882942523156673,0.025326621230421842,2.398917808219178,3.0841217902501246,130.0,2,FAIR
6050,0.20504112021046816,-0.8761942206087787,0.3208447488584475,2.384332196969697,70.0,4,OVERPRICING
6056,0.6900962200205164,0.5437668122800086,6.234076103500761,4.33153745133202,75.42857142857143,7,UNDERPRICING
6105,-0.14443922380758759,2.4291349688380803,11.984181506849316,4.961108251975594,79.25,4,UNDERPRICING
6118,0.17936099689942653,2.4005147798641393,8.672150684931507,2.819150191025436,68.25,4,UNDERPRICING
6120,-0.17197010134394056,-0.9365937148469777,0.3895594224361348,6.942306754675401,56.333333333333336,3,OVERPRICING
6124,-0.08814589665653495,-0.7272661029910786,0.25205479452054796,5.871709393346379,5.666666666666667,3,OVERPRICING
