hotel_id,n_observations,price_std,price_premium_mean,avg_residual,residual_std,avg_price,avg_occupancy,city,elasticity,method
307,11,0.48627959048347835,0.6875468957832193,0.8942221903270832,0.03800071085097153,3191.8127272727274,1.0,Pals,0.00468754916810309,market_fallback
1067,74,0.26565017082909714,-0.4010610948115831,0.8860146762378894,0.07318504035907886,225.67256756756757,1.0,Lekeitio (Bizkaia),-0.07717083172906988,estimated
1384,606,0.3200324953334049,-0.4277545959511722,0.08293972958507909,0.14448949884364062,108.87362421924936,0.25776428,Miño,0.03313420489834776,estimated
1404,37,0.2665761212811049,-0.11195051577813825,0.8497924594582968,0.09000391220581087,367.4237837837838,1.0,"Talarn, Lérida",-0.09551309537984441,estimated
1747,140,0.42749182441780736,-0.36470296407309966,0.1848359212146659,0.16630934011280227,674.7939880952381,0.2613095,Tarifa,0.03596816271540548,estimated
1833,229,0.5449315340240353,1.1901465537208338,0.1678867017721684,0.1502564288458475,871.2192649199418,0.34352255,Sevilla,0.0037734275155316857,estimated
2016,250,0.3128039463878621,-0.4263021610760373,0.24589619428506884,0.21161415577419318,97.55226666666667,0.40586668,"Mogarraz, Salamanca",-0.017896632075661258,estimated
2112,40,0.6021302777941984,0.9364945052646221,0.7052223742987891,0.1853630808419469,1656.5,0.8875,,-0.013397216196275501,estimated
2130,48,0.05539560407280089,0.004076707591076469,0.46218524166189817,0.17940346736457966,896.2233333333334,0.5833333,Sevilla,0.5,estimated
2226,52,0.8284961444135182,0.024666154305837167,0.10689433087702702,0.08332709050720367,457.7814102564102,0.13192257,Very Cool Cool City,0.01667996174557026,estimated
2254,149,0.3781511876410731,-0.26643859139179515,0.22959414499636152,0.20873544086431403,302.1332102908278,0.40346757,Múnter (Muntanyola),-0.06559941858463261,estimated
2385,301,0.6300185222132586,0.7663037441087378,0.06951567428695432,0.13727713319208382,348.22942947281524,0.20474048,"Vall-llobrega, Girona",0.023181910868462538,estimated
2950,239,0.6139919123238367,0.4044749987741801,0.2504098691576614,0.16898931931848518,625.8056122733612,0.32880056,Fontanilles,-0.03159883996728175,estimated
3422,451,0.28477955773959207,-0.46354405976857094,0.2102566603456998,0.23117705911951134,99.79669253510717,0.5063193,"Los Santos de la Humosa, Madrid",0.03380493755059857,estimated
3444,32,0.6336259696747342,0.12973564456389514,0.8964478227843133,0.03214442113102345,1553.7840625,1.0,Barcelona,-0.0015574088932148974,estimated
3532,236,0.4978163407945884,0.09718789169496435,0.18387716722769776,0.19036832223155176,188.72042574656982,0.27986282,Viladrau,0.029064739804459772,estimated
3608,261,0.5348642711410609,-0.20792878778909726,0.2552926026220016,0.19302197780440916,154.12572158365262,0.38403577,"Deba, Pais Vasco",0.012183317970830962,estimated
3790,181,0.4983665614958586,0.23945175509444191,0.41723189902970376,0.15595186595665722,469.81560773480663,0.5524862,Valencia,0.02873399596760646,estimated
4019,42,0.6354767167301957,1.1462544647096637,0.0653478457657944,0.04661114200510354,550.9854365079365,0.125,Playa del Ingles,0.020320222241415983,estimated
4084,166,0.38069452827732797,0.023027747566194613,0.2566821452958205,0.22583171494254956,116.82198795180723,0.3683735,Toledo Castilla-La Mancha España,0.09927351375573523,estimated
4527,49,0.5838237656453138,1.026229848718265,0.20207153138655007,0.20606490988414466,308.5838775510204,0.35782313,"La Pobla de Cérvoles, Lleida",0.031099604057443136,estimated
4950,333,0.5112636962898364,-0.08946075582908858,0.10933173559828,0.13996760578750375,414.6981435840603,0.20507562,Jerez de la Frontera,0.01282627867625722,estimated
5493,30,0.09933047998487797,-0.03332864692710092,0.809534554683275,0.08158411406738782,311.6666666666667,1.0,La Estrella (Toledo),0.29649735820478273,estimated
5661,93,0.61625954184235,-0.023353770482052293,0.44780419822794987,0.2250623729325052,360.40863799283153,0.55376345,"Mijas Costa, (Málaga)",-0.06963707932319696,estimated
5671,36,0.4154248809787765,0.1753880311440594,0.083808981701651,0.1299158702054226,167.31972222222223,0.32837304,Benialí,0.013125207950939738,estimated
5681,16,0.5968454565491752,0.2861575856002507,0.5616597685520983,0.20847910627148825,1116.9990625,0.625,,0.00468754916810309,market_fallback
5699,2,0.003931053800336601,-0.4426177131839233,0.9441171753678894,0.016772806560426203,75.0,1.0,,0.00468754916810309,market_fallback
5703,1,,-0.5953852211739099,0.9090893092217812,,290.0,1.0,Cazorla (Jaén),0.00468754916810309,market_fallback
5708,179,0.46103302380341893,-0.450299511083928,0.24377767316474835,0.20797420908405884,93.51345437616386,0.35540038,Talaván,-0.054503319311347324,estimated
5719,1,,-0.7067972377137802,0.9376248438326382,,88.0,1.0,Albuñuelas (Granada),0.00468754916810309,market_fallback
5789,109,0.4076103648038782,-0.19482154601448173,0.48428828747978353,0.1708843033546043,365.8606422018348,0.56880736,Alajeró,0.06063622611724616,estimated
5799,248,0.5291284815544163,-0.1138990271677832,0.25612728520240835,0.21659013895518142,129.8827318548387,0.43245968,Las Palmas de Gran Canaria,0.08525648944402747,estimated
5809,459,0.31964498287457255,-0.5678809918227107,0.13660907890568308,0.19347641958796002,76.95668596720394,0.2925422,Fuencaliente de La Palma,0.06838158177954148,estimated
5825,296,0.36897156098645895,-0.4357535860262699,0.21040993048344372,0.1614702652102905,174.76293074324323,0.30152026,"Puntagorda, La Palma",0.028058569638194458,estimated
5833,35,0.5551185495193863,0.4132034514695907,0.9406474677792117,0.030898616122407324,1492.1897142857142,1.0,Playa Blanca,0.01972569876844022,estimated
5834,45,0.5971076751228955,0.21160604701390906,0.2946850765938555,0.23357562921156255,214.01358888888888,0.3657672,,0.06930089930759417,estimated
