model,r2_train,r2_test,rmse_test,mae_test,cv_mean,cv_std
Ridge,0.46622924528896614,0.5153673825283167,0.4589228467815207,0.3464762669197354,0.4609123390896491,0.03329254893901713
RandomForest,0.704499860845702,0.6933933888049011,0.3650262663609683,0.2711628736571621,0.6546159310272655,0.02588581999657491
XGBoost,0.8415054026804382,0.783715549335102,0.30658154443056107,0.22260821759857274,0.7546308854957156,0.014311204243927388
LightGBM,0.7905819414579999,0.7613940202776681,0.3220134563517869,0.23639499318524113,0.724591922758715,0.022285447530478633
CatBoost,0.6985669456516679,0.696034892745675,0.3634504620003335,0.2697663480830249,0.6655334914249695,0.013963571746434181
