is_coastal,city_standardized,room_type,room_view,high_price_hotel,low_price_hotel,high_price,low_price,high_occupancy,low_occupancy,price_diff_pct,match_distance,month,capacity,days_in_month,dist_coast_diff,price_avg,occ_avg,price_pct_change,occ_pct_change,arc_elasticity,current_revenue,counterfactual_occ,counterfactual_revenue,opportunity
1,other,apartment,no_view,8076,9489,1223.732,243.7349056603773,0.011947431601583958,0.032258063554763794,4.020749886785443,0.12484109572748969,2023-05-01 00:00:00,53.0,31,0.004065000885617065,733.7334528301886,0.022102747578173876,1.335630930495993,-0.9189188756440523,-0.6880035904101197,12917.949615015086,0.002615520062565868,5258.742866205933,-7659.206748809153
1,other,room,mountain_view,3608,20786,902.2,529.3168000000001,0.012406948022544384,0.032258063554763794,0.7044612980355053,0.14687827225008598,2024-08-01 00:00:00,25.0,31,0.06429191654837974,715.7584,0.02233250578865409,0.5209623806021696,-0.8888888564535675,-1.70624384706266,13232.919605628254,0.003584230330163302,2506.111768001832,-10726.807837626422
0,other,room,no_view,13755,7543,150.42857142857142,92.6136842105263,0.01075268816202879,0.032258063554763794,0.6242585824209548,0.15278085055478574,2024-03-01 00:00:00,19.0,31,7.048085328310236,121.52112781954887,0.02150537585839629,0.47575996253010866,-0.9999999783467497,-2.101900237734831,1759.6599475580451,6.984919244703851e-10,6.188808084560697e-05,-1759.6598856699643
1,other,room,garden_view,13506,14095,355.96875,85.01578947368422,0.008064515888690948,0.032258063554763794,3.187089859468829,0.15343957124263716,2023-07-01 00:00:00,76.0,31,0.5148870546611093,220.4922697368421,0.02016128972172737,1.2288546934080664,-1.2,-0.976519035519129,6461.199807441235,0.0,0.0,-6461.199807441235
0,other,room,mountain_view,21744,6579,279.90769230769234,64.06818181818181,0.01784488745033741,0.032258063554763794,3.368903320872105,0.16871904358912693,2024-03-01 00:00:00,44.0,31,2.7334854724498,171.98793706293708,0.025051475502550602,1.2549688901177205,-0.5753424026045457,-0.4584515258785232,2818.999915987253,0.01369863176579586,5230.056680879351,2411.056764892098
0,other,room,garden_view,22344,24600,150.54166666666666,126.67871794871797,0.011111111380159855,0.03333333507180214,0.18837377820328804,0.20985896226079095,2024-06-01 00:00:00,39.0,30,0.5763052784427174,138.61019230769233,0.022222223225980997,0.17215868703923862,-1.000000020954757,-5.808594606247408,4940.470257665591,0.0,0.0,-4940.470257665591
0,other,room,mountain_view,12632,13107,2075.0,303.05,0.0029325513169169426,0.032258063554763794,5.847054941428807,0.21515627110953298,2024-07-01 00:00:00,8.0,31,2.6690251217138297,1189.025,0.01759530743584037,1.490254620382246,-1.666666657844972,-1.1183771115686774,2424.39992774725,0.0,0.0,-2424.39992774725
1,other,room,no_view,18586,13282,455.62,72.5,0.016129031777381897,0.032258063554763794,5.2844137931034485,0.2236388439900558,2023-10-01 00:00:00,2.0,31,0.25058551457010203,264.06,0.024193547666072845,1.4508823752177535,-0.6666666666666666,-0.4594904990603466,144.99999567866325,0.010752687851587932,303.74665761431066,158.7466619356474
1,other,room,garden_view,11051,13320,360.09090909090907,80.83333333333333,0.018675722181797028,0.032258063554763794,3.4547328959700097,0.2275285464324796,2023-07-01 00:00:00,24.0,31,0.47930868285208916,220.4621212121212,0.02546689286828041,1.2666918662588915,-0.53333327482144,-0.4210442089571571,1939.9999421834946,0.015053764879703477,4033.0185672952794,2093.018625111785
1,other,apartment,mountain_view,13279,14458,315.0,241.00363636363636,0.008333333767950535,0.03333333507180214,0.30703422053231944,0.25582720133786113,2024-06-01 00:00:00,22.0,30,1.0011502785663415,278.0018181818182,0.020833334419876337,0.2661722290894108,-1.2,-4.508359133126935,5302.08027652502,0.0,0.0,-5302.08027652502
0,other,room,garden_view,24220,6118,166.42499999999995,100.96428571428571,0.017777778208255768,0.03333333507180214,0.6483551467987262,0.2573764090399929,2024-04-01 00:00:00,21.0,30,1.0064859467013747,133.69464285714284,0.025555556640028954,0.48962855120276727,-0.6086956775256039,-1.2431784789313236,2120.250110579654,0.01304347809608356,1367.5793305486447,-752.6707800310094
0,other,room,no_view,9855,11851,160.0,33.12,0.016129031777381897,0.032258063554763794,3.8309178743961354,0.2661081169991471,2023-08-01 00:00:00,1.0,31,5.348983489440116,96.56,0.024193547666072845,1.3140016570008284,-0.6666666666666666,-0.5073560319461959,33.11999901294708,0.010752687851587932,53.33333174387615,20.213332730929068
1,other,room,no_view,7226,6445,149.49666666666667,104.28571428571429,0.01075268816202879,0.032258063554763794,0.43352968036529677,0.2680619807968862,2023-12-01 00:00:00,7.0,31,0.4250979773755805,126.89119047619047,0.02150537585839629,0.35629701487776366,-0.9999999783467497,-2.806647085409413,729.9999782443047,6.984919244703851e-10,2.2659620525213964e-05,-729.9999555846841
1,other,room,mountain_view,10202,10541,2300.0,316.48,0.0029325513169169426,0.032258063554763794,6.267441860465116,0.2886040377645044,2024-08-01 00:00:00,8.0,31,0.7307937332641927,1308.24,0.01759530743584037,1.5161744022503516,-1.666666657844972,-1.0992578791537804,2531.8399245452883,0.0,0.0,-2531.8399245452883
1,other,room,no_view,11271,7916,414.2,168.88235294117646,0.01075268816202879,0.032258063554763794,1.4525949146638801,0.295766885362896,2024-05-01 00:00:00,17.0,31,0.6675080580525767,291.5411764705882,0.02150537585839629,0.8414511117388322,-0.9999999783467497,-1.1884231471039133,2870.9999144375324,6.984919280517496e-10,0.00015246919292769126,-2870.9997619683395
