product_key,hotel_id,month,room_type,room_view,children_allowed,adr_2023,revenue_2023,nights_2023,capacity_2023,adr_2024,revenue_2024,nights_2024,capacity_2024,price_change_pct,revenue_change_pct,volume_change_pct,revpar_2023,revpar_2024,revpar_change_pct,strategy_bin,fine_bin
7314_2_apartment_city_view_True,7314,2,apartment,city_view,True,85.00384615384615,4420.2,52,150.0,93.23083333333334,5593.85,60,160.0,0.09678370511138262,0.2655196597439031,0.15384615384615385,29.468,34.9615625,0.18642468100990903,"Nudgers
 (Prices increase by >5% to +15%)","(0.05, 0.1]"
10289_4_room_no_view_True,10289,4,room,no_view,True,117.18333333333334,3163.9500000000003,27,27.0,78.41625,1881.99,24,24.0,-0.3308242070829185,-0.40517707296259425,-0.1111111111111111,117.18333333333334,78.41625,-0.3308242070829185,"Slashers
 (Prices decrease by >10%)",
8911_2_room_pool_view_False,8911,2,room,pool_view,False,60.75882352941176,1032.8999999999999,17,88.0,67.04615384615384,871.6,13,56.0,0.10348011945456044,-0.15616226159357136,-0.23529411764705882,11.737499999999999,15.564285714285715,0.3260307317815307,"Nudgers
 (Prices increase by >5% to +15%)","(0.1, 0.15]"
10122_2_room_no_view_True,10122,2,room,no_view,True,236.69582089552236,15858.619999999999,67,379.0,253.62250000000003,24347.760000000002,96,510.0,0.07151236992878347,0.535301306166615,0.43283582089552236,41.84332453825857,47.74070588235295,0.1409395981120532,"Nudgers
 (Prices increase by >5% to +15%)","(0.05, 0.1]"
8388_5_room_garden_view_False,8388,5,room,garden_view,False,127.03730769230766,3302.9699999999993,26,26.0,79.39228571428572,2778.73,35,35.0,-0.37504747891399887,-0.158717760076537,0.34615384615384615,127.03730769230766,79.39228571428572,-0.37504747891399887,"Slashers
 (Prices decrease by >10%)",
11908_10_room_river_view_True,11908,10,room,river_view,True,198.6495652173913,4568.9400000000005,23,46.0,216.93333333333334,1952.4,9,18.0,0.09204031277860215,-0.5726798776083731,-0.6086956521739131,99.32478260869566,108.46666666666667,0.09204031277860215,"Nudgers
 (Prices increase by >5% to +15%)","(0.05, 0.1]"
8696_3_room_no_view_True,8696,3,room,no_view,True,114.095,5704.75,50,228.0,105.0765306122449,5148.75,49,234.0,-0.07904351100184148,-0.09746264078180464,-0.02,25.020833333333332,22.003205128205128,-0.12060462435150193,"Flatliners
 (Prices change by -10% to +5%)","(-0.1, -0.05]"
7076_2_apartment_pool_view_True,7076,2,apartment,pool_view,True,275.9,1931.3,7,7.0,388.46999999999997,1942.35,5,5.0,0.40801014860456686,0.005721534717547742,-0.2857142857142857,275.9,388.46999999999997,0.40801014860456686,"Moonshots
 (Prices increase by >30%)","(0.4, 0.45]"
10417_3_room_mountain_view_False,10417,3,room,mountain_view,False,220.66666666666666,5296.0,24,162.0,252.37209302325581,10852.0,43,301.0,0.1436801798636971,1.049093655589124,0.7916666666666666,32.69135802469136,36.053156146179404,0.10283445915427925,"Nudgers
 (Prices increase by >5% to +15%)","(0.1, 0.15]"
8886_4_room_landmark_view_True,8886,4,room,landmark_view,True,92.83333333333333,1949.5,21,21.0,112.86666666666666,1693.0,15,15.0,0.21579892280071813,-0.13157219799948705,-0.2857142857142857,92.83333333333333,112.86666666666666,0.21579892280071813,"Hikers
 (Prices increase by >15% to +30%)","(0.2, 0.25]"
6597_2_room_garden_view_True,6597,2,room,garden_view,True,152.35,1828.1999999999998,12,12.0,150.6,2108.4,14,14.0,-0.011486708237610764,0.15326550705612094,0.16666666666666666,152.35,150.6,-0.011486708237610764,"Flatliners
 (Prices change by -10% to +5%)","(-0.05, -5.55e-17]"
12262_6_apartment_city_view_True,12262,6,apartment,city_view,True,431.08579710144926,29744.92,69,69.0,788.0118518518518,21276.32,27,27.0,0.8279698778069592,-0.2847074391190159,-0.6086956521739131,431.08579710144926,788.0118518518518,0.8279698778069592,"Moonshots
 (Prices increase by >30%)",
7742_10_room_no_view_True,7742,10,room,no_view,True,118.4632558139535,10187.84,86,86.0,174.22166666666666,4181.32,24,24.0,0.47068106029671963,-0.5895773785218457,-0.7209302325581395,118.4632558139535,174.22166666666666,0.47068106029671963,"Moonshots
 (Prices increase by >30%)","(0.45, 0.5]"
12652_5_room_city_view_True,12652,5,room,city_view,True,237.30519480519482,18272.5,77,233.0,248.55160000000004,6213.790000000001,25,75.0,0.047392157613900775,-0.6599376111643179,-0.6753246753246753,78.42274678111588,82.85053333333335,0.05646048798285239,"Flatliners
 (Prices change by -10% to +5%)","(-5.55e-17, 0.05]"
11681_9_room_city_view_True,11681,9,room,city_view,True,180.22232258064517,27934.46,155,626.0,135.48235294117646,4606.4,34,129.0,-0.24824876851450323,-0.8350997298676974,-0.7806451612903226,44.62373801916933,35.708527131782944,-0.19978628602464046,"Slashers
 (Prices decrease by >10%)","(-0.25, -0.2]"
13167_5_room_no_view_True,13167,5,room,no_view,True,45.19753086419753,3661.0,81,216.0,47.41095890410959,10383.0,219,664.0,0.04897232210676778,1.8361103523627424,1.7037037037037037,16.949074074074073,15.637048192771084,-0.07740988537597528,"Flatliners
 (Prices change by -10% to +5%)","(-5.55e-17, 0.05]"
7626_3_room_no_view_True,7626,3,room,no_view,True,167.95746031746035,10581.320000000002,63,113.0,213.64399999999998,20296.179999999997,95,166.0,0.2720125655400268,0.9181141861317864,0.5079365079365079,93.64000000000001,122.26614457831323,0.30570423513790274,"Hikers
 (Prices increase by >15% to +30%)","(0.25, 0.3]"
10201_3_room_no_view_True,10201,3,room,no_view,True,111.60090909090911,12276.100000000002,110,840.0,127.02625,20324.2,160,1218.0,0.13821877469228808,0.6555909450069645,0.45454545454545453,14.614404761904764,16.686535303776683,0.14178685862549278,"Nudgers
 (Prices increase by >5% to +15%)","(0.1, 0.15]"
8211_7_apartment_no_view_True,8211,7,apartment,no_view,True,407.6384615384615,15897.9,39,195.0,747.3928571428571,10463.5,14,70.0,0.8334699192076582,-0.34183131105366116,-0.6410256410256411,81.5276923076923,149.47857142857143,0.8334699192076582,"Moonshots
 (Prices increase by >30%)",
9990_6_room_sea_view_True,9990,6,room,sea_view,True,154.28358974358974,12034.12,78,288.0,198.83903225806455,18492.030000000002,93,332.0,0.28878925223689267,0.5366333392055257,0.19230769230769232,41.785138888888895,55.69888554216868,0.3329831376240704,"Hikers
 (Prices increase by >15% to +30%)","(0.25, 0.3]"
11558_3_apartment_garden_view_True,11558,3,apartment,garden_view,True,458.0216666666667,5496.26,12,96.0,370.38750000000005,2963.1000000000004,8,64.0,-0.1913319238900634,-0.46088794926004223,-0.3333333333333333,57.25270833333334,46.298437500000006,-0.1913319238900634,"Slashers
 (Prices decrease by >10%)","(-0.2, -0.15]"
10613_6_room_no_view_True,10613,6,room,no_view,True,53.63426829268293,8796.02,164,337.0,64.07956834532374,8907.06,139,286.0,0.19475049040737646,0.012623891259910624,-0.1524390243902439,26.100949554896143,31.14356643356643,0.19319668305800655,"Hikers
 (Prices increase by >15% to +30%)","(0.15, 0.2]"
6947_6_room_no_view_True,6947,6,room,no_view,True,107.07894736842105,8138.0,76,254.0,85.96987012987012,6619.679999999999,77,267.0,-0.197135643908807,-0.18657163922339648,0.013157894736842105,32.039370078740156,24.792808988764044,-0.22617676540353066,"Slashers
 (Prices decrease by >10%)","(-0.2, -0.15]"
7790_4_apartment_city_view_True,7790,4,apartment,city_view,True,231.01833333333332,2772.22,12,12.0,312.91214285714284,4380.7699999999995,14,14.0,0.3544905217788323,0.5802389420753042,0.16666666666666666,231.01833333333332,312.91214285714284,0.3544905217788323,"Moonshots
 (Prices increase by >30%)","(0.35, 0.4]"
12442_8_room_city_view_True,12442,8,room,city_view,True,566.1744117647058,19249.93,34,238.0,712.9879999999999,3564.9399999999996,5,35.0,0.2593080598215162,-0.8148076382615418,-0.8529411764705882,80.88205882352942,101.85542857142856,0.259308059821516,"Hikers
 (Prices increase by >15% to +30%)","(0.25, 0.3]"
